senseval2.d000.s000.t000	5) The study and creation of visual works of art
senseval3.d002.s119.t005	1) One of a series of ridges that moves across the surface of a liquid (especially across a large body of water
senseval3.d002.s120.t000	2) Continue to exist.
senseval3.d002.s120.t001	1) A dwelling that serves as living quarters for one or more families.
senseval3.d002.s120.t002	The most suitable dictionary definition which identifies the meaning of "get" among the given options is:9) Take vengeance on or
senseval3.d002.s120.t003	2) Immediately following in time or order.
senseval3.d002.s120.t004	1) Shaking or trembling (usually resulting from weakness or stress or disease).
senseval3.d002.s120.t005	8) To put into a state or activity hastily, suddenly, or carelessly
senseval3.d002.s120.t006	5) A mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of.
senseval3.d002.s120.t007	The most suitable definition is:2) Spring back; spring away from an impact
senseval3.d002.s120.t008	7) Make an effort or attempt.
senseval3.d002.s121.t000	2) Of textures that are smooth to the touch or substances consisting of relatively small particles
senseval3.d002.s122.t001	The most suitable dictionary definition which identifies the meaning of "full" among the given options is:6) Constituting the full
senseval3.d002.s122.t002	1) A protective cover that protects the face of a watch.
senseval3.d002.s123.t000	1) The sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina.
senseval3.d002.s123.t001	3) Transparent or semitransparent adhesive tape (trade names Scotch tape and Sellotape) used for sealing or attaching
senseval3.d002.s123.t002	2) An area within a building enclosed by walls and floor and ceiling
senseval3.d002.s124.t000	5) An entity that is not named specifically
senseval3.d002.s124.t001	1) A dwelling that serves as living quarters for one or more families.This definition best identifies the meaning of "house"
senseval3.d002.s124.t002	5) The manner of construction of something and the arrangement of its parts.
senseval3.d002.s124.t003	3) Being satisfactory or in satisfactory condition
senseval3.d002.s125.t000	The most suitable definition which identifies the meaning of "standing" is:10) Be standing; be upright
senseval3.d002.s125.t002	4) stay in one place and anticipate or expect something
senseval3.d002.s125.t003	3) Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
senseval3.d002.s125.t004	5) Observe with care or pay close attention to
senseval3.d002.s125.t006	2) Come up to the surface of or rise
senseval3.d002.s125.t007	The most suitable dictionary definition which identifies the meaning of "ground" among the given options is:4) A relatively homogeneous percept
senseval3.d002.s128.t000	2) Inspiring awe or admiration or wonder.
senseval3.d002.s128.t001	2) The gear that has the second lowest forward gear ratio in the gear box of a motor vehicle.
senseval3.d002.s128.t002	2) Become different in some particular way, without permanently losing one's or its former characteristics or essence.
senseval3.d002.s128.t003	The most suitable dictionary definition which identifies the meaning of "life" among the given options is:15) The condition of living
senseval3.d002.s131.t000	2) Expect, believe, or suppose
senseval3.d002.s131.t001	7) Have life, be alive.
senseval3.d002.s131.t002	4) stay in one place and anticipate or expect something.
senseval3.d002.s132.t000	3) Characterized by effort to the point of exhaustion; especially physical effort.
senseval3.d002.s132.t001	3) Make use of or accept for some purpose
senseval3.d002.s132.t002	1) Receive or obtain regularly.Explanation: The sentence "It's hard to accept that it's over and only took
senseval3.d002.s132.t003	3) Following the first in an ordering or series
senseval3.d002.s133.t000	2) Affect with wonder
senseval3.d002.s133.t001	2) (usually followed by `to') having the necessary means or skill or know-how or authority to do something
senseval3.d002.s133.t002	7) become less tense, rest, or take one's ease
senseval3.d002.s136.t000	1) Fleshy spore-bearing inner mass of e.g. a puffball or stinkhornThis definition correctly
senseval3.d002.s136.t001	The most suitable dictionary definition which identifies the meaning of "goes" among the given options is:1) Move away from
senseval3.d002.s136.t003	2) An instance of traveling by air.
senseval3.d002.s136.t004	1) The act of fighting; any contest or struggle
senseval3.d002.s137.t000	The most suitable definition is:1) Disgust so strong it makes you feel sickThis definition is the most accurate
senseval3.d002.s137.t001	3) Seem to be true, probable, or apparent.
senseval3.d002.s137.t002	2) Completely ordinary and unremarkable
senseval3.d002.s137.t003	2) Anything that accompanies X and is regarded as an indication of X's existence.
senseval3.d002.s138.t000	The most suitable dictionary definition which identifies the meaning of "quiet" is:5) Free of noise or uproar; or
senseval3.d002.s139.t000	The most suitable dictionary definition which identifies the meaning of "walked" among the given options is:4) Traverse or cover
senseval3.d002.s139.t002	1) A unit of time equal to 60 seconds or 1/60th of an hour.
senseval3.d002.s139.t003	The most suitable dictionary definition which identifies the meaning of "morning" is:4) The time period between dawn and noon
senseval3.d002.s140.t000	2) immediately following in time or order
senseval3.d002.s140.t003	4) Gather or cause to gather into a cluster.
senseval3.d002.s140.t004	3) Used to signify the Union forces in the American Civil War (who wore blue uniforms)
senseval3.d002.s140.t006	2) Change to an upright sitting position
senseval3.d002.s140.t007	7) Speak, pronounce, or utter in a certain way.
senseval3.d002.s140.t009	2) An adult female person (as opposed to a man)
senseval3.d002.s140.t010	2) Express with a smile
senseval3.d002.s140.t011	7) Speak, pronounce, or utter in a certain way.
senseval3.d002.s140.t012	4) Relatively large in size or number or extent; larger than others of its kind
senseval3.d002.s140.t013	2) Having life or vigor or spirit
senseval3.d002.s141.t000	3) Consent or assent to a condition, or agree to do something.
semeval2013.d000.s000.t000	1) A band of musicians who play rock'n'roll music
semeval2013.d000.s000.t001	1) A series of steps to be carried out or goals to be accomplishedIn this context, "plan" refers to
semeval2013.d000.s000.t002	1) A substance that is emitted or releasedThis definition directly relates to the concept of emissions, which refers to the release
semeval2013.d000.s001.t000	1) The prevailing psychological state
semeval2013.d000.s001.t001	2) A discussion among participants who have an agreed (serious) topic.
semeval2013.d000.s001.t004	4) The concentration of attention or energy on something.
semeval2013.d000.s001.t007	3) Writing that provides information (especially information of an official nature)
semeval2013.d000.s001.t008	2) The act of reducing complexity.
semeval2013.d000.s001.t009	5) a period of time containing 365 (or 366) days
semeval2013.d000.s001.t010	3) The weight to be borne or conveyed.
semeval2013.d000.s001.t011	2) The time during which a school holds classes
semeval2013.d000.s002.t000	2) The main body of a written work (as distinct from illustrations or footnotes etc.).
semeval2013.d000.s002.t001	4) a relation that provides the foundation for something.
semeval2013.d000.s002.t002	4) The act of apportioning or distributing something
semeval2013.d000.s002.t004	The most suitable dictionary definition for "obstacles" is:1) An obstruction that stands in the way (and must be
semeval2013.d000.s002.t005	3) A line or route along which something travels or moves
semeval2013.d000.s003.t000	2) A movement forward.
semeval2013.d000.s003.t001	2) The activity or business of negotiating an agreement; coming to terms.
semeval2013.d000.s003.t002	7) a period of time considered as a resource under your control and sufficient to accomplish something.In this sentence, "time
semeval2013.d000.s003.t004	2) A person who rules or guides or inspires others
semeval2013.d000.s003.t006	2) A period of seven consecutive days
semeval2013.d000.s004.t001	2) The main body of a written work (as distinct from illustrations or footnotes etc.).
semeval2013.d000.s004.t002	1) The most common medium of exchange; functions as legal tender.
semeval2013.d000.s004.t003	3) The territory occupied by a nation
semeval2013.d000.s004.t004	2) The smallest whole number or a numeral representing this number
semeval2013.d000.s004.t006	4) One of the substantive phrases in a logical proposition.
semeval2013.d000.s005.t000	The most suitable dictionary definition which identifies the meaning of "range" among the given options is:1) The limits within which
semeval2013.d000.s005.t001	The most suitable dictionary definition for "options" is:2) One of a number of things from which only one can be
semeval2013.d000.s005.t002	2) A sentence of inquiry that asks for a reply
semeval2013.d000.s005.t003	2) The largest possible quantity
semeval2013.d000.s005.t004	2) The somatic sensation of cold or heat
semeval2013.d000.s005.t005	The most suitable dictionary definition which identifies the meaning of "rise" among the given options is:5) A growth in strength
semeval2013.d000.s006.t000	4) Your overall circumstances or condition in life (including everything that happens to you).
semeval2013.d000.s006.t001	1) The quality of being adaptable or variable
semeval2013.d000.s006.t002	The most suitable dictionary definition which identifies the meaning of "process" among the options is:8) A sustained phenomenon or one
semeval2013.d000.s006.t003	1) The federal government of the United States
semeval2013.d000.s006.t004	1) An advocate who represents someone else's policy or purpose
semeval2013.d000.s007.t000	3) Writing that provides information (especially information of an official nature)The most suitable definition for "document" in this sentence
semeval2013.d000.s007.t001	1) The activity or business of negotiating an agreement; coming to terms.
semeval2013.d000.s007.t002	2) The main body of a written work (as distinct from illustrations or footnotes etc.)
semeval2013.d000.s007.t003	2) The weather in some location averaged over some long period of time.
semeval2013.d000.s007.t004	2) A worker who holds or is invested with an office
semeval2013.d000.s007.t005	8) Graphic art consisting of an artistic composition made by applying paints to a surface
semeval2013.d000.s008.t000	1) A schematic or preliminary plan.
semeval2013.d000.s008.t001	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each
semeval2013.d000.s008.t002	1) A substance that is emitted or released
semeval2013.d000.s008.t004	4) A specific identifiable position in a continuum or series or especially in a process.
semeval2013.d000.s008.t006	1) A complex sentence in which the main clause comes last and is preceded by the subordinate clause.Explanation: The most suitable
semeval2013.d000.s009.t000	The most suitable dictionary definition which identifies the meaning of "countries" among the given options is:3) The territory occupied by
semeval2013.d000.s009.t001	1) A substance that is emitted or released
semeval2013.d000.s010.t004	5) A period of time containing 365 (or 366) days.
semeval2013.d000.s010.t005	3) The time for the earth to make one revolution around the sun, measured between two vernal equinoxes.
semeval2013.d000.s010.t006	5) A simple style of folk music heard mostly in the southern United States; usually played on stringed instruments.
semeval2013.d000.s010.t007	4) influencing strongly
semeval2013.d000.s010.t009	3) A large flow.
semeval2013.d000.s010.t010	2) A prolonged shortage
semeval2013.d000.s011.t001	The most suitable dictionary definition which identifies the meaning of "sort" is:4) the ground on which people and animals move
semeval2013.d000.s011.t003	2) A period of seven consecutive days.
semeval2013.d000.s012.t001	2) The weather in some location averaged over some long period of time
semeval2013.d000.s012.t002	3) Someone sent on a mission to represent the interests of someone else
semeval2013.d000.s012.t004	1) A step on some scale.This definition is the most suitable as it refers to cutting or reducing something by some units
semeval2013.d000.s012.t005	1) A substance that is emitted or releasedThis definition best fits the context of the sentence, as it refers to the
semeval2013.d000.s012.t006	1) A single person or thing
semeval2013.d000.s013.t000	3) The act of changing location from one place to another
semeval2013.d000.s013.t002	3) A communist nation that covers a vast territory in eastern Asia; the most populous country in the worldThis definition is
semeval2013.d000.s013.t003	The most suitable dictionary definition is:2) The executive under President George W. Bush
semeval2013.d000.s013.t004	2) A worker who holds or is invested with an office.
semeval2013.d000.s013.t005	5) A period of time containing 365 (or 366) days
semeval2013.d000.s014.t000	1) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d000.s014.t001	1) The act of distributing playing cards.
semeval2013.d000.s014.t004	2) The main body of a written work (as distinct from illustrations or footnotes etc.).
semeval2013.d000.s014.t005	1) A step on some scale.Explanation: The definition that best matches the meaning of "cuts" is "A step
semeval2013.d000.s014.t006	3) An expert who observes and comments on something.
semeval2013.d000.s015.t000	2) A statement that expresses a personal opinion or belief or adds information
semeval2013.d000.s015.t001	3) A period of time equal to 1/24th of a day.
semeval2013.d000.s015.t003	2) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d000.s015.t004	2) The weather in some location averaged over some long period of time
semeval2013.d000.s015.t007	3) hours or days of work in a calendar week.
semeval2013.d000.s015.t008	1) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d000.s015.t009	3) A communist nation that covers a vast territory in eastern Asia; the most populous country in the world.
semeval2013.d000.s016.t001	8) people in general considered as a whole.
semeval2013.d000.s017.t000	1) The act of fighting; any contest or struggle
semeval2013.d000.s017.t001	2) The system of production and distribution and consumption.
semeval2013.d000.s017.t003	1) A government on the island of Taiwan established in 1949 by Chiang Kai-shek after the conquest of mainland
semeval2013.d000.s017.t004	1) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d000.s017.t005	1) A social force that binds you to the courses of action demanded by that force.
semeval2013.d000.s017.t006	2) The territory occupied by a nation.
semeval2013.d000.s017.t007	3) All of the living human inhabitants of the earth
semeval2013.d000.s017.t009	4) a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography).
semeval2013.d000.s017.t010	2) Some duty that is essential and urgent
semeval2013.d000.s018.t002	2) The property of having material worth (often indicated by the amount of money something would bring if sold)
semeval2013.d000.s018.t004	3) The territory occupied by a nation
semeval2013.d000.s018.t005	3) (Hinduism and Buddhism) the effects of a person's actions that determine his destiny in his next incarnation
semeval2013.d000.s019.t000	11) (games) the score at a particular point or the score needed to win
semeval2013.d000.s019.t003	2) The nations of Central America collectively
semeval2013.d000.s020.t000	5) A simple style of folk music heard mostly in the southern United States; usually played on stringed instruments.
semeval2013.d000.s020.t001	2) An agency of the United Nations that promotes education and communication and the arts.
semeval2013.d000.s020.t005	2) A person who participates in or is skilled at some game.This definition identifies the meaning of "participants" in the
semeval2013.d000.s020.t007	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each.
semeval2013.d000.s021.t000	2) One of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing
semeval2013.d000.s021.t001	1) A regulator for controlling the flow of air in a fireplace.
semeval2013.d000.s021.t003	The most suitable dictionary definition which identifies the meaning of "proposal" is:3) The act of making a proposal.In
semeval2013.d000.s021.t005	4) the time period between dawn and noon.
semeval2013.d000.s022.t000	2) The weather in some location averaged over some long period of time.
semeval2013.d000.s022.t001	2) The activity or business of negotiating an agreement; coming to terms
semeval2013.d000.s022.t002	1) As the agent of or on someone's part (usually expressed as "on behalf of" rather than "in behalf
semeval2013.d000.s022.t004	The most suitable definition which identifies the meaning of "pressure" is:2) The act of pressing; the exertion of
semeval2013.d000.s022.t005	The most suitable dictionary definition which identifies the meaning of "process" is:8) A sustained phenomenon or one marked by gradual
semeval2013.d000.s022.t006	3) (Hinduism and Buddhism) the effects of a person's actions that determine his destiny in his next incarnation
semeval2013.d000.s022.t007	3) A communist nation that covers a vast territory in eastern Asia; the most populous country in the worldThis definition accurately
semeval2013.d000.s023.t001	4) An urgent situation calling for prompt action.
semeval2013.d000.s023.t003	2) A piece of information about circumstances that exist or events that have occurred
semeval2013.d000.s023.t004	1) One of a series published periodically
semeval2013.d000.s023.t005	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each
semeval2013.d000.s024.t000	2) A worker who holds or is invested with an office.
semeval2013.d000.s024.t001	2) A person appointed to a high office in the government
semeval2013.d000.s024.t002	1) An aircraft that has a fixed wing and is powered by propellers or jets.
semeval2013.d000.s024.t003	1) A large entrance or reception room or area.
semeval2013.d000.s024.t004	1) The social act of assembling for some common purpose
semeval2013.d000.s024.t006	4) (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based.
semeval2013.d000.s024.t007	1) A period of seven consecutive days.
semeval2013.d000.s025.t000	2) Sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
semeval2013.d000.s025.t001	3) (plural) any group of human beings (men or women or children) collectively.
semeval2013.d000.s025.t002	2) The period of time taken by a particular planet (e.g. Mars) to make a complete rotation on its axis
semeval2013.d000.s025.t004	3) The act of publicly exhibiting or entertaining
semeval2013.d000.s025.t005	3) The territory occupied by a nation.
semeval2013.d000.s025.t006	1) A regulator for controlling the flow of air in a fireplace.
semeval2013.d000.s025.t007	1) Something proposed (such as a plan or assumption)
semeval2013.d000.s025.t008	2) The physical object that is the product of a newspaper publisher
semeval2013.d000.s025.t010	2) Questioning a statement and demanding an explanation
semeval2013.d000.s026.t000	4) The high level or degree; the property of being intense.
semeval2013.d000.s026.t001	2) A person appointed to a high office in the government
semeval2013.d000.s027.t002	3) A plan of action adopted by an individual or social group.
semeval2013.d000.s028.t000	1) A person of exceptional importance and reputation.
semeval2013.d001.s000.t001	1) (Old Testament) son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob
semeval2013.d001.s001.t002	2) A group of animals that work together to pull something
semeval2013.d001.s001.t003	1) Something that is lost.
semeval2013.d001.s001.t004	7) the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
semeval2013.d001.s001.t005	1) A cooperative unit (especially in sports)
semeval2013.d001.s001.t006	1) A style in speech or writing that arrests attention and has a penetrating or convincing quality or effectExplanation: This definition
semeval2013.d001.s001.t007	1) The greatest possible intensity.
semeval2013.d001.s001.t008	4) An organization of musicians who perform together.
semeval2013.d001.s002.t000	3) A band of musicians who play rock'n'roll music
semeval2013.d001.s002.t001	2) Failure to be present
semeval2013.d001.s002.t002	2) A sense of concern with and curiosity about someone or something.
semeval2013.d001.s002.t004	The most suitable dictionary definition which identifies the meaning of "end" is:7) The concluding parts of an event or occurrence
semeval2013.d001.s003.t001	1) An auxiliary activity
semeval2013.d001.s003.t002	3) Any collection in its entirety.
semeval2013.d001.s003.t003	2) A successful ending of a struggle or contest.
semeval2013.d001.s004.t000	1) The flesh of wild animals that is used for food.
semeval2013.d001.s004.t001	The most suitable dictionary definition which identifies the meaning of "favor" is:4) an advantage to the benefit of someone or
semeval2013.d001.s005.t000	2) Horizontal circular metal hoop supporting a net through which players try to throw the basketball.
semeval2013.d001.s005.t001	3) The boundary line or the area immediately inside the boundary
semeval2013.d001.s005.t002	2) A hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence)
semeval2013.d001.s006.t000	2) The unit of counting in scoring a game or contest
semeval2013.d001.s006.t001	The most suitable dictionary definition which identifies the meaning of "end" among the given options is:10) The point in time
semeval2013.d001.s007.t000	1) The rear part of a shipThis definition best identifies the meaning of "quarter" in the context of the sentence
semeval2013.d001.s007.t001	2) A group of draft animals that work together to pull something
semeval2013.d001.s007.t003	The most suitable dictionary definition which identifies the meaning of "work" among the given options is:1) A product produced or
semeval2013.d001.s007.t004	2) Acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound
semeval2013.d001.s007.t006	7) A quick reply to a question or remark (especially a witty or critical one).
semeval2013.d001.s007.t007	7) (baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner
semeval2013.d001.s007.t008	1) The playing of a card to start a trick in bridge.
semeval2013.d001.s008.t000	2) Two or more draft animals that work together to pull something.
semeval2013.d001.s008.t001	1) A style in speech or writing that arrests attention and has a penetrating or convincing quality or effect.
semeval2013.d001.s008.t002	1) A style in speech or writing that arrests attention and has a penetrating or convincing quality or effect.Explanation: The sentence
semeval2013.d001.s008.t003	1) The time after sunset and before sunrise while it is dark outside
semeval2013.d001.s009.t000	1) A game played against a computer.The most suitable definition is "A game played against a computer."
semeval2013.d001.s009.t003	3) The pressure exerted by the atmosphere
semeval2013.d001.s009.t004	9) The game equipment needed in order to play a particular game.
semeval2013.d001.s010.t000	1) The actions and activities assigned to or required or expected of a person or group
semeval2013.d001.s012.t000	3) A person who pursues a number of different social and sexual partners simultaneously
semeval2013.d001.s012.t001	1) A pair of people who live together.
semeval2013.d001.s012.t002	The most suitable dictionary definition which identifies the meaning of "plays" among the given options is:4) A dramatic work intended
semeval2013.d001.s012.t003	4) The activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
semeval2013.d001.s012.t005	9) The legislative hall where members debate and vote and conduct other business.
semeval2013.d001.s012.t006	2) A group of draft animals that work together to pull something.
semeval2013.d001.s012.t007	10) a large room in a exchange where the trading is done.
semeval2013.d001.s012.t008	1) The rear part of a ship.The most suitable dictionary definition is 1) The rear part of a ship.
semeval2013.d001.s013.t001	2) A unit of angular distance equal to a 60th of a degree
semeval2013.d001.s014.t000	2) A group of draft animals that work together to pull something.
semeval2013.d001.s014.t001	2) A group of draft animals that work together to pull something.
semeval2013.d001.s014.t002	1) A fortified position (especially one marking the most forward position of troops)This definition best identifies the meaning of "line
semeval2013.d001.s015.t001	2) A group of draft animals that work together to pull something
semeval2013.d001.s015.t003	10) a contest with rules to determine a winner
semeval2013.d001.s015.t005	7) A period of time considered as a resource under your control and sufficient to accomplish something.This definition best identifies the meaning
semeval2013.d001.s015.t006	2) One of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
semeval2013.d002.s000.t000	2) Used to allude to the securities industry of the United States
semeval2013.d002.s000.t002	The most suitable dictionary definition which identifies the meaning of "dollar" among the given options is:2) The basic monetary
semeval2013.d002.s001.t001	1) The direction or path along which something moves or along which it lies.In this context, "heading" refers to
semeval2013.d002.s001.t003	4) The securities markets in the aggregate
semeval2013.d002.s001.t004	3) (chemistry) a substance that changes color to indicate the presence of some ion or substance; can be used to indicate
semeval2013.d002.s001.t005	The most suitable dictionary definition is:1) North American republic containing 50 states - 48 conterminous states in North
semeval2013.d002.s001.t006	The most suitable dictionary definition is:1) The basic unit of money in New Zealand.
semeval2013.d002.s002.t001	1) A model of a bodily form (especially of a person).
semeval2013.d002.s002.t006	The most suitable definition is:2) The state of being predominant over others
semeval2013.d002.s004.t000	The most suitable definition for "market" in the given sentence is:5) The customers for a particular product or service.
semeval2013.d002.s005.t002	1) The amount of 3-dimensional space occupied by an object
semeval2013.d002.s005.t003	The most suitable dictionary definition which identifies the meaning of "case" is:8) A portable container for carrying several objects
semeval2013.d002.s005.t004	The most suitable dictionary definition which identifies the meaning of "end" is:10) a large room in a exchange where the
semeval2013.d002.s005.t005	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
semeval2013.d002.s006.t000	3) An interest followed with exaggerated zeal
semeval2013.d002.s006.t001	2) The act of issuing printed materials.
semeval2013.d002.s006.t002	3) (chemistry) a substance that changes color to indicate the presence of some ion or substance; can be used to indicate
semeval2013.d002.s006.t003	The most suitable definition which identifies the meaning of "market" is:6) The world of commercial activity where goods and services
semeval2013.d002.s006.t005	1) An abstraction belonging to or characteristic of two entities or parts together.
semeval2013.d002.s006.t007	3) Gradual healing (through rest) after sickness or injury.
semeval2013.d002.s006.t008	2) An expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions
semeval2013.d002.s007.t000	The most suitable definition is:1) North American republic containing 50 states - 48 conterminous states in North America
semeval2013.d002.s007.t003	2) One of the twelve divisions of the calendar year
semeval2013.d002.s007.t004	7) a long continuous strip (usually running horizontally)
semeval2013.d002.s008.t000	2) A feeling of trust (in someone or something)
semeval2013.d002.s008.t003	The most suitable dictionary definition for "month" is:2) One of the twelve divisions of the calendar year.This definition
semeval2013.d002.s008.t004	4) An approximate calculation of quantity or degree or worth.
semeval2013.d002.s008.t005	3) A number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal
semeval2013.d002.s009.t000	3) A number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal
semeval2013.d002.s009.t001	1) A wave that lifts the surface of the water or ground.
semeval2013.d002.s009.t002	1) A symbol of commercialism or greed
semeval2013.d002.s009.t003	3) A high place.
semeval2013.d002.s009.t005	The most suitable dictionary definition which identifies the meaning of "pressure" among the given options is:2) The act of pressing
semeval2013.d002.s009.t006	1) Measuring instrument consisting of two graduated arms hinged at one end.This definition accurately describes a sector in the context
semeval2013.d002.s009.t007	2) The general state of things; the combination of circumstances at a given time
semeval2013.d002.s010.t001	1) Property that your creditor can claim in case you default on your obligation.
semeval2013.d002.s010.t002	3) A position to be won or defended in battle (or as if in battle)
semeval2013.d002.s012.t000	The most suitable dictionary definition which identifies the meaning of "Treasury" among the given options is:4) The government department
semeval2013.d002.s012.t001	The most suitable dictionary definition which identifies the meaning of "bond" is:10) a certificate of debt (usually interest-bearing
semeval2013.d002.s012.t002	3) Income (at invoice values) received for goods and services over some given period of time.
semeval2013.d002.s012.t004	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
semeval2013.d002.s012.t005	10) a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise
semeval2013.d002.s012.t006	3) Income (at invoice values) received for goods and services over some given period of time.The most suitable dictionary definition
semeval2013.d002.s012.t007	2) The early part of night (from dinner until bedtime) spent in a special way
semeval2013.d003.s000.t000	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each.In this sentence, "deals
semeval2013.d003.s001.t000	2) Something that interests you because it is important or affects you
semeval2013.d003.s001.t001	3) A turbulent state resulting in injuries and destruction etc.
semeval2013.d003.s001.t002	2) The quality or attribute of being unstable and irresolute
semeval2013.d003.s001.t003	The most suitable definition is:4) The organization that is the governing authority of a political unit.In this context, "
semeval2013.d003.s001.t006	1) The public sale of something to the highest bidder
semeval2013.d003.s002.t000	2) The cards held in a card game by a given player at any given time.
semeval2013.d003.s002.t002	2) High quality porcelain originally made only in China
semeval2013.d003.s002.t003	The most suitable dictionary definition which identifies the meaning of "Russia" among the options is:3) A federation in northeastern Europe
semeval2013.d003.s002.t004	1) A dark oil consisting mainly of hydrocarbons.
semeval2013.d003.s002.t006	1) The actions and activities assigned to or required or expected of a person or group
semeval2013.d003.s002.t009	2) The cardinal number that is the sum of nine and one; the base of the decimal system
semeval2013.d003.s002.t010	The most suitable definition is:4) The waging of armed conflict against an enemy.This definition accurately describes the meaning of
semeval2013.d003.s002.t011	4) Permission to do something
semeval2013.d003.s003.t000	11) The members of a business organization that owns or operates one or more establishments.
semeval2013.d003.s003.t001	5) (law) a right or legal share of something; a financial involvement with something
semeval2013.d003.s003.t002	2) Somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected
semeval2013.d003.s004.t000	1) An institution created to conduct business.
semeval2013.d003.s004.t001	1) The public sale of something to the highest bidder
semeval2013.d003.s005.t000	The most suitable definition for "bid" is:4) A formal proposal to buy at a specified price.In this context
semeval2013.d003.s006.t000	11) The members of a business organization that owns or operates one or more establishments.
semeval2013.d003.s006.t001	1) The act of distributing playing cardsThe most suitable dictionary definition which identifies the meaning of "deals" in the
semeval2013.d003.s006.t002	1) A particular kind of commercial enterprise
semeval2013.d003.s007.t000	The most suitable dictionary definition which identifies the meaning of "representation" among the given options is:3) The act of representing
semeval2013.d003.s007.t001	4) Any of a group of liquid edible fats that are obtained from plants
semeval2013.d003.s007.t002	3) A very large person; impressive in size or qualities.This definition most closely aligns with the context of the sentence
semeval2013.d003.s007.t005	2) An expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions
semeval2013.d003.s008.t001	2) A room that is entered via a door
semeval2013.d003.s008.t002	4) a period of time occupying a regular part of a calendar year that is used for some particular activity.
semeval2013.d003.s008.t003	4) The waging of armed conflict against an enemy.
semeval2013.d003.s008.t004	2) The highest federal court in the United States; has final appellate jurisdiction and has jurisdiction over all other courts in the nation
semeval2013.d003.s008.t005	1) An institution created to conduct business.
semeval2013.d003.s008.t007	1) A person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of
semeval2013.d003.s008.t008	3) Informal information of any kind that is not previously known to someone.
semeval2013.d003.s008.t009	2) A place of business for retailing goods.
semeval2013.d003.s010.t000	2) Something that interests you because it is important or affects you
semeval2013.d003.s010.t001	4) A guarantee that an obligation will be met
semeval2013.d003.s010.t002	2) An attack by dropping bombs
semeval2013.d003.s010.t004	4) Unreliability attributable to being unstable
semeval2013.d003.s010.t005	1) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d003.s010.t009	7) the 3rd planet from the sun; the planet we live on.
semeval2013.d003.s010.t011	2) An expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions
semeval2013.d003.s011.t000	1) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d003.s011.t002	The most suitable dictionary definition which identifies the meaning of "cases" is:1) A problem requiring investigationExplanation: Cases
semeval2013.d003.s011.t005	The most suitable dictionary definition which identifies the meaning of "government" among the given options is:4) The organization that is
semeval2013.d003.s011.t006	5) Energy made available by the flow of electric charge through a conductor.
semeval2013.d003.s012.t000	11) The members of a business organization that owns or operates one or more establishments.
semeval2013.d003.s012.t001	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each.
semeval2013.d003.s012.t002	2) A government department under the direction of a minister.
semeval2013.d003.s013.t000	2) The highest federal court in the United States; has final appellate jurisdiction and has jurisdiction over all other courts in the nation
semeval2013.d003.s013.t002	1) A cord (or string or ribbon or wire etc.) with which something is tied.
semeval2013.d003.s013.t004	5) A period of time containing 365 (or 366) days
semeval2013.d003.s014.t000	The most suitable definition which identifies the meaning of "companies" among the given options is:11) The members of a business
semeval2013.d003.s014.t001	1) A binding agreement between two or more persons that is enforceable by law.In this context, "contracts" refers
