senseval2.d000.s000.t000	In the context of the given sentence, the word "art" refers to a skill or a practice.
senseval3.d002.s111.t003	"Kept" in this sentence is a verb.
senseval3.d002.s111.t004	The word "coming" in the sentence "The three of us stopped breathing for a moment, and then when it kept on
senseval3.d002.s112.t001	The word "say" in this sentence is a verb.
senseval3.d002.s112.t004	Here's a dictionary definition for "session":1. A period of time during which a particular activity or meeting is held or
senseval3.d002.s116.t000	"Trouble" (noun) - a source of worry or difficulty.
senseval3.d002.s116.t002	The word "family" in the given sentence is a noun, referring to a group of people related by birth, marriage,
senseval3.d002.s116.t005	The word "spent" in the given sentence is a verb, and its dictionary definition is:* To use up or exhaust
senseval3.d002.s116.t007	The word "hour" in the sentence refers to a unit of time, specifically a period of 60 minutes.
senseval3.d002.s116.t008	The word "knowing" in the given sentence is a present participle verb form of "know". According to the dictionary
senseval3.d002.s119.t002	"Started" can be defined as: 1. To have a beginning; to initiate or commence something.
senseval3.d002.s119.t003	"Rolling" (verb): 1. To move in a smooth, continuous motion, often in a curved or wave
senseval3.d002.s119.t004	Ocean (noun): A vast body of saltwater that covers a significant portion of the Earth's surface, often characterized by t
senseval3.d002.s119.t005	The word "waves" in this sentence is a noun.
senseval3.d002.s120.t000	"Ran" is a verb that means to move quickly on foot, typically with an energetic or hurried motion.
senseval3.d002.s120.t001	A building for human habitation, typically consisting of one or more floors and a roof, enclosing space for living, sleeping,
senseval3.d002.s120.t002	According to the dictionary, "get" in the given sentence is a transitive verb, specifically:1. To obtain or
senseval3.d002.s120.t003	The word "next" in the given sentence is an adverb, and its dictionary definition is:1. Following in immediate
senseval3.d002.s120.t004	A tremor is a sudden, brief shaking or vibration, especially one caused by an earthquake or a strong vibration.
senseval3.d002.s120.t005	'threw' is a past tense of the verb 'throw', meaning to propel or launch something or someone violently upward or
senseval3.d002.s120.t006	The word "air" in the given sentence is defined as: 1. The invisible gaseous substance surrounding the earth
senseval3.d002.s120.t007	According to the dictionary, "bounced" can be defined as: 1. to move or jump up and down suddenly
senseval3.d002.s120.t008	According to the Oxford English Dictionary, "tried" is a verb that can be defined as:* to make an effort
senseval3.d002.s121.t000	Here is a dictionary definition of "fine" from Merriam-Webster:1. Satisfactory; acceptable
senseval3.d002.s122.t001	"Full" in the sentence "Kitchen full of broken crystal" is an adjective used to describe the state of being completely occupied
senseval3.d002.s122.t002	1. A solid substance whose atoms, molecules, or ions are arranged in a repeating pattern, often occurring naturally, and typically
senseval3.d002.s123.t000	According to the Oxford English Dictionary, "books" is a noun referring to written or printed works consisting of pages glued or sew
senseval3.d002.s123.t001	In the given sentence, "tapes" refers to narrow, narrow strips of adhesive-coated paper or plastic used for recording
senseval3.d002.s123.t002	The word "room" in the sentence "Books and tapes all over my room" is a noun referring to a small,
senseval3.d002.s124.t000	According to the Oxford English Dictionary, "thing" can be defined as:1. A person, object, or situation;
senseval3.d002.s124.t001	The word "house" in the sentence refers to a building for human habitation.
senseval3.d002.s124.t002	According to the dictionary, the word "structure" in the given sentence refers to:- a framework or arrangement of parts or
senseval3.d002.s124.t003	Fine, in this context, refers to being in a satisfactory or acceptable condition, implying that the house's structure is sound and
senseval3.d002.s125.t000	According to the dictionary, "standing" is defined as:1. (verb) to be in a position on the ground
senseval3.d002.s125.t002	Here's a dictionary definition for the word "waiting":Waiting (verb): 1. To remain in a state of expectation
senseval3.d002.s125.t003	A tremor is a slight shaking or vibration, especially one that is felt, but not strong enough to cause damage.
senseval3.d002.s125.t004	Noticed: past tense of "notice", verb meaning: to perceive or become aware of something that is happening or existing.
senseval3.d002.s125.t006	Emerging: 1. Coming into view or into a position of visibility; becoming apparent or noticeable.
senseval3.d002.s125.t007	The word "ground" in the sentence is defined as: 1. The earth or soil as opposed to the air or
senseval3.d002.s128.t000	Here is a dictionary definition of "amazing" from Merriam-Webster:1. Extremely good or impressive
senseval3.d002.s128.t001	Here's a dictionary definition of "second" in the given sentence:* Second (noun) : a unit of time,
senseval3.d002.s128.t002	The word "change" in the given sentence is defined by the Oxford English Dictionary as:1. To make something different from
senseval3.d002.s128.t003	The dictionary definition for "life" in the given sentence is:1. A state of being alive; existence.2.
senseval3.d002.s131.t000	The word "guess" in this sentence is defined as: 1. To form an opinion or judgment about something, especially
senseval3.d002.s131.t001	According to the Oxford English Dictionary, "living" in this context can be defined as: 1. Existing or being in
senseval3.d002.s131.t002	Here's a dictionary definition for "waiting":Waiting (verb): to remain in a state of expectation or anticipation for something to
senseval3.d002.s132.t000	According to Merriam-Webster Dictionary, the word "hard" in the given sentence has the following definition:1
senseval3.d002.s132.t001	According to the dictionary, "accept" can be defined as:1. To receive something willingly or gladly; to receive something
senseval3.d002.s132.t002	In the sentence "It's hard to accept that it's over and only took 15 seconds," the word "took"
senseval3.d002.s132.t003	Unit of time.
senseval3.d002.s133.t000	The word "wonder" in the given sentence is a verb. Dictionary definition: * to feel a feeling of great
senseval3.d002.s133.t001	According to the Oxford English Dictionary, "able" in the sentence "I wonder when we 'll be able to relax"
senseval3.d002.s133.t002	Relax (verb): to make someone or something less tense or anxious; to make someone or something feel more comfortable or calm
senseval3.d002.s136.t000	The word "flesh" in the sentence "Flesh goes to total alert for flight or fight" is a noun referring
senseval3.d002.s136.t001	The word "goes" in the sentence "Flesh goes to total alert for flight or fight" can be defined as
senseval3.d002.s136.t003	The word "flight" in the sentence "Flesh goes to total alert for flight or fight" is defined as:1
senseval3.d002.s136.t004	According to the Oxford English Dictionary, "fight" can be defined as:1. A contest or struggle between two or more
senseval3.d002.s137.t000	Here's a dictionary definition of "Nausea":Nausea (noun): A feeling of sickness to the stomach,
senseval3.d002.s137.t001	According to the Oxford English Dictionary, "seems" is a verb in the sentence, and its primary meaning is:*
senseval3.d002.s137.t002	According to the Oxford English Dictionary, "commonplace" is defined as:1. Familiar or ordinary; not unusual or
senseval3.d002.s137.t003	According to the Oxford English Dictionary, a symptom is:"A sign or indication of a disease, disorder, or abnormality,
senseval3.d002.s138.t000	"Quiet" (adjective) - making little or no noise; peaceful and still.
senseval3.d002.s139.t000	According to Merriam-Webster Dictionary, "walked" is defined as:1. to move on foot,
senseval3.d002.s139.t002	The word "minutes" in the given sentence refers to a unit of time, specifically a short period of time, equal to
senseval3.d002.s139.t003	The word "morning" in the given sentence refers to the time of day that follows night and precedes noon, typically
senseval3.d002.s140.t000	The word "Next" in the given sentence is defined as: 1. Following immediately after something else in time, space
senseval3.d002.s140.t003	Here's a dictionary definition for "bundled":Bundled (verb): to put something, especially clothing or bedding
senseval3.d002.s140.t004	In the given sentence, "blue" is an adjective used to describe the color of the sleeping bag.
senseval3.d002.s140.t006	"Sat up" is a phrase meaning to rise up from a seated position, typically to a standing or sitting position, often
senseval3.d002.s140.t007	" Said" is a verb meaning to express words aloud, typically with the intention of communicating with others.
senseval3.d002.s140.t009	The dictionary definition of "woman" is:1. An adult human female.
senseval3.d002.s140.t010	Smiled: to curve the corners of the mouth upward, typically to express pleasure, amusement, or friendliness.
senseval3.d002.s140.t011	The word "said" in the given sentence is a reporting verb, specifically a direct speech verb.
senseval3.d002.s140.t012	According to Merriam-Webster Dictionary, "great" in this context can be defined as:1. Of high
senseval3.d002.s140.t013	According to Merriam-Webster Dictionary, "alive" is defined as:1. Having life; living or being
senseval3.d002.s141.t000	Agreed: past tense of "agree", to come to an agreement or concord in opinion, sentiment, or purpose.
semeval2013.d000.s000.t000	Group (noun): A number of individuals or things united or associated together for a common purpose.
semeval2013.d000.s000.t001	A plan: A proposed program or course of action for achieving a specific goal or objective.
semeval2013.d000.s000.t002	emissions (noun): The release of gases or other substances into the environment, especially as a result of human activity.
semeval2013.d000.s001.t000	Climate: *   A long period of weather patterns in a particular region.
semeval2013.d000.s001.t001	A gathering of people for a specific purpose, especially to discuss or settle an issue.
semeval2013.d000.s001.t004	The word "focus" in the given sentence refers to:1. The point or center of attention; the main point or
semeval2013.d000.s001.t007	A written record of facts, proposals, or plans, typically presented in formal language, often used for official or business purposes.
semeval2013.d000.s001.t008	Reductions (noun): A decrease or decrease in amount, extent, or degree.
semeval2013.d000.s001.t009	Year: A period of 12 months, or a specific point in time.
semeval2013.d000.s001.t010	"Burden" (noun): A weight, responsibility, or obligation that is difficult to bear or carry; a heavy or
semeval2013.d000.s001.t011	Term: a period of time, especially one specified or agreed upon for a particular purpose.
semeval2013.d000.s002.t000	Definition: A written or printed document, especially one that conveys information or expresses an opinion.
semeval2013.d000.s002.t001	Basis (noun): A foundation or starting point for something; a foundation or starting point for a particular activity, idea,
semeval2013.d000.s002.t002	Deal: A formal agreement between two or more parties, especially to resolve a dispute or to achieve a specific goal, often involving
semeval2013.d000.s002.t004	Obstacles: n. Physical or mental barriers that hinder progress or achievement.
semeval2013.d000.s002.t005	Path: A course of action or direction that is taken or intended to be taken.
semeval2013.d000.s003.t000	According to the Oxford English Dictionary, "advance" can be defined as:"A progress or development in a particular direction or field
semeval2013.d000.s003.t001	Negotiation: The act of discussing or bargaining in order to reach a mutually acceptable agreement or settlement.
semeval2013.d000.s003.t002	In the given sentence, "time" refers to a measurable duration or period of existence, often used to describe the amount of
semeval2013.d000.s003.t004	According to the Oxford English Dictionary, "leaders" is a noun that refers to:"A person who influences or controls others,
semeval2013.d000.s003.t006	A week is a period of seven consecutive days.
semeval2013.d000.s004.t001	The dictionary definition for "text" in this context is:* A written or printed matter, especially a formal document or a
semeval2013.d000.s004.t002	Definition: Money: 1. A medium of exchange, a unit of account, and a store of value, typically in
semeval2013.d000.s004.t003	Here is a dictionary definition of "countries":1. (noun) A territory with defined borders, government, and population,
semeval2013.d000.s004.t004	According to the dictionary, "ones" in the sentence refers to "individuals" or "people".
semeval2013.d000.s004.t006	Here is a dictionary definition for "term":Term: A period of time; a specified interval.
semeval2013.d000.s005.t000	A range is a series of values or quantities that connect an upper and lower bound.
semeval2013.d000.s005.t001	Option: A choice between two or more alternatives, possibilities, or solutions.
semeval2013.d000.s005.t002	The word "questions" in the sentence refers to:1. A statement that is asked for information or explanation.2.
semeval2013.d000.s005.t003	The word "upper limit" is defined as:1. The highest or maximum amount or degree of something.2. The
semeval2013.d000.s005.t004	Temperature: the measure of the average heat of a body or environment.
semeval2013.d000.s005.t005	Increase or growth in a gradual or steady manner.
semeval2013.d000.s006.t000	According to the dictionary, "lot" can be defined as:"A portion of a thing, especially of a divisible quantity,
semeval2013.d000.s006.t001	According to the dictionary, "flexibility" is defined as:1. The ability to be bent or shaped without breaking.
semeval2013.d000.s006.t002	The word "process" in the sentence refers to: 1. A series of actions, steps, or operations used to
semeval2013.d000.s006.t003	The word "Washington" in the given sentence refers to Washington, D.C. (short for Washington, D.C., District
semeval2013.d000.s006.t004	A representative is: 1. A person who acts on behalf of another person, group, or organization.
semeval2013.d000.s007.t000	A written statement or record of facts, information, or opinions.
semeval2013.d000.s007.t001	Negotiation: The act of discussing or bargaining in order to reach a mutually acceptable agreement.
semeval2013.d000.s007.t002	The word "text" in the given sentence refers to a written work or document.
semeval2013.d000.s007.t003	Here is a dictionary definition of "climate":Climate: a long period of time in which weather patterns prevail in a particular region
semeval2013.d000.s007.t004	A person having a position of authority or responsibility in an organization or government.
semeval2013.d000.s007.t005	The dictionary definition of "picture" in this context is:A general or broad outline or summary of a subject, especially one
semeval2013.d000.s008.t000	Definition: Outlines: 1. a sketch or preliminary plan or design, especially one that gives the main features or
semeval2013.d000.s008.t001	Deal: an agreement or arrangement made between two or more parties, especially in a business or formal context.
semeval2013.d000.s008.t002	Emissions: The release of gases, such as carbon dioxide, into the atmosphere, typically as a result of human activity,
semeval2013.d000.s008.t004	Level: A level is a point of reference or a standard from which something is measured or compared, or the amount or
semeval2013.d000.s008.t006	A period, in this context, refers to a specified interval of time, often used to define a particular duration or timeframe for
semeval2013.d000.s009.t000	"Countries" refers to a geographical area that is internationally recognized as an independent and sovereign state.
semeval2013.d000.s009.t001	Emissions: The release of gases or pollutants into the environment, especially as a result of human activity, such as burning fossil
semeval2013.d000.s010.t004	A unit of time, equivalent to 365.25 days or 12 months.
semeval2013.d000.s010.t005	A unit of time, equal to 365.25 days, used to measure the duration of periods or periods of time.
semeval2013.d000.s010.t006	"Country" refers to a large area of land and people who live there, especially as an independent group with its own government
semeval2013.d000.s010.t007	The word "impact" in the sentence is defined as:1. A result or effect of something (especially of a particular
semeval2013.d000.s010.t009	Flood: a sudden and temporary overflow of water that submerges land that is usually dry, often causing damage to property
semeval2013.d000.s010.t010	Drought: A prolonged period of abnormally low rainfall, leading to water shortage.
semeval2013.d000.s011.t001	A noun.
semeval2013.d000.s011.t003	The word "week" in the given sentence refers to a period of seven consecutive days.
semeval2013.d000.s012.t001	Climate: A long period of time, especially 30 or 50 years, in which weather patterns in a particular region or
semeval2013.d000.s012.t002	A "envoy" is: 1. A person sent to represent someone or something in a particular place or situation.
semeval2013.d000.s012.t004	Reduced or diminished amount; a reduction.
semeval2013.d000.s012.t005	According to the Oxford English Dictionary, "emissions" is defined as:1. The release of gases or other substances into
semeval2013.d000.s012.t006	The word "ones" in the sentence refers to "individuals".
semeval2013.d000.s013.t000	"Move" can be defined as:1. A change of position or location.2. An action or step taken to
semeval2013.d000.s013.t002	China: 1. A country in East Asia, officially the People's Republic of China, with a population of more than
semeval2013.d000.s013.t003	"Bush administration" refers to the government of the United States led by President George W. Bush, from 2001 to
semeval2013.d000.s013.t004	The dictionary definition of "officials" in this context is:Plural noun:1. The people who are responsible for
semeval2013.d000.s013.t005	Unit of time, specifically a period of 365.25 days, used to measure the passage of time.
semeval2013.d000.s014.t000	The United States:* A republic in North America, in the Western Hemisphere, comprising fifty states and various territories; officially known
semeval2013.d000.s014.t001	According to the Oxford English Dictionary, "deal" can be defined as:1. A bargain or agreement reached between two or
semeval2013.d000.s014.t004	According to the dictionary, "text" can refer to: * A written or printed work consisting of words, usually on
semeval2013.d000.s014.t005	The dictionary definition of "cuts" in this context is:1. A reduction in the amount or extent of something, such
semeval2013.d000.s014.t006	Observer: A person who watches or observes something, especially a public event, in order to report on it, especially as a
semeval2013.d000.s015.t000	The dictionary definition of "comments" is: 1. Remarks or expressions made by someone in response to something else.
semeval2013.d000.s015.t001	The word "hour" in the given sentence refers to a unit of time, specifically a period of 60 minutes.
semeval2013.d000.s015.t003	According to the Oxford English Dictionary, "America" refers to:1. The continent of the Western Hemisphere, comprising the United
semeval2013.d000.s015.t004	Climate: a long period of time, typically 30 or 50 years, in which the weather patterns in a particular region
semeval2013.d000.s015.t007	A week is a period of seven consecutive days.
semeval2013.d000.s015.t008	The dictionary definition of "United States" is:1. A country in North America consisting of fifty states and a federal district
semeval2013.d000.s015.t009	The word "China" in the given sentence refers to the country of China.
semeval2013.d000.s016.t001	World: 1. The Earth and all its inhabitants.
semeval2013.d000.s017.t000	According to the dictionary, "battle" is defined as:1. A prolonged fight or struggle, especially one that is fierce
semeval2013.d000.s017.t001	"economies" refers to a system of producing, distributing, and exchanging goods and services, especially with the aim of
semeval2013.d000.s017.t003	China: - A country in East Asia, officially the People's Republic of China, a one-party socialist state with a
semeval2013.d000.s017.t004	The United States: A country located in North America, comprising fifty states and various territories, with a federal republic form of
semeval2013.d000.s017.t005	According to the Oxford English Dictionary, "obligations" is defined as:1. A duty or responsibility that someone has
semeval2013.d000.s017.t006	According to the Oxford English Dictionary, the word "nations" is defined as:1. A large group of people who
semeval2013.d000.s017.t007	The word "world" in the sentence is defined as:1. The entire planet, including all its inhabitants, land,
semeval2013.d000.s017.t009	According to the Oxford English Dictionary, "countries" is defined as:1. A nation or state, especially a sovereign or
semeval2013.d000.s017.t010	Here's a dictionary definition of "imperative":* Imperative (adjective): Having the power to compel or command
semeval2013.d000.s018.t002	According to the Oxford English Dictionary, the word "costs" can be defined as:"Financial expenses or expenditures, especially
semeval2013.d000.s018.t004	A country is a large area of land with its own government and people.
semeval2013.d000.s018.t005	Here is a dictionary definition of "actions" from the Oxford English Dictionary:"Actions (noun)1. A particular thing
semeval2013.d000.s019.t000	The word "game" in the given sentence is defined as: 1. An activity or contest with rules and objectives,
semeval2013.d000.s019.t003	Central America: A geographic region that includes the countries of Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua,
semeval2013.d000.s020.t000	Countries: (noun) A territory under the sovereignty of a single government.
semeval2013.d000.s020.t001	The word "impact" in the given sentence can be defined as:1. The effect or influence that something has on something
semeval2013.d000.s020.t005	Participant (noun): A person or entity that takes part in a particular activity, event, or discussion, especially one that is
semeval2013.d000.s020.t007	According to the Oxford English Dictionary, "deal" can be defined as:1. A bargain or agreement reached by negotiation,
semeval2013.d000.s021.t000	Member (noun): A person or thing that belongs to a group, organization, or community.
semeval2013.d000.s021.t001	Draft (noun): A preliminary version of a document, plan, or proposal that is submitted for consideration, approval, or revision
semeval2013.d000.s021.t003	Proposal (noun): A suggestion or plan put forward for consideration or approval.
semeval2013.d000.s021.t005	"Morning" is defined as the first part of the day, from sunrise to about noon.
semeval2013.d000.s022.t000	The word "climate" in this context refers to: A set of long-term atmospheric conditions in a particular region, including
semeval2013.d000.s022.t001	Negotiations: The act of discussing and reaching an agreement between two or more parties on terms or conditions.
semeval2013.d000.s022.t002	"Behalf" is a preposition that means to act or represent someone or something on their behalf.
semeval2013.d000.s022.t004	Pressure (noun): 1. A force that tends to push or compress something, or a feeling of anxiety or stress caused
semeval2013.d000.s022.t005	The word "process" in the given sentence can be defined as:1. A series of connected events or actions taken to
semeval2013.d000.s022.t006	According to the Oxford English Dictionary, "action" can be defined as:1. The process of doing something; the process
semeval2013.d000.s022.t007	China: A country in East Asia, officially the People's Republic of China, with a population of over 1.4
semeval2013.d000.s023.t001	Urgency: A state of needing to be dealt with quickly because of the importance of the situation or because of the consequences
semeval2013.d000.s023.t003	Fact: A statement or assertion that is true and can be verified or proven, often based on evidence or observation.
semeval2013.d000.s023.t004	According to the Oxford English Dictionary, "issues" can be defined as:* A problem or difficulty that needs to be dealt
semeval2013.d000.s023.t005	Deal: a negotiated agreement or compromise between two or more parties.
semeval2013.d000.s024.t000	A person who is in a position of authority or responsibility within an organization or government.
semeval2013.d000.s024.t001	A minister: A high-ranking official who is responsible for a specific department or area of government policy.
semeval2013.d000.s024.t002	The word "planes" in this sentence refers to aircraft.
semeval2013.d000.s024.t003	The word "halls" in the sentence refers to:Large, usually public, rooms in a building, especially in a
semeval2013.d000.s024.t004	According to the Oxford English Dictionary, "meetings" can be defined as:"1. A gathering of people together,
semeval2013.d000.s024.t006	According to the dictionary, "claims" can be defined as:1. A statement or assertion of a fact or right;
semeval2013.d000.s024.t007	The word "week" in the sentence refers to a period of seven consecutive days, typically consisting of Sunday, Monday, Tuesday
semeval2013.d000.s025.t000	The word "gathering" in the given sentence is defined as: "A group of people coming together, especially for a
semeval2013.d000.s025.t001	The word "people" in this sentence refers to human beings, specifically individuals.
semeval2013.d000.s025.t002	The word "day" in the given sentence refers to a 24-hour period of time.
semeval2013.d000.s025.t004	The word "shows" in the given sentence is defined as: 1. A performance, especially one given in a public
semeval2013.d000.s025.t005	The word "countries" in the given sentence refers to nations or states.
semeval2013.d000.s025.t006	Draft: A preliminary version of a document or proposal that is submitted for approval or comment.
semeval2013.d000.s025.t007	According to the Oxford English Dictionary, "proposals" is defined as:1. A statement or suggestion made in support
semeval2013.d000.s025.t008	"Paper" in this sentence refers to a physical material used for writing or drawing, typically made from processed plant fibers, used
semeval2013.d000.s025.t010	The dictionary definition of "challenge" in this context is:A difficulty or obstacle that must be overcome or a test of one
semeval2013.d000.s026.t000	Intensity: The state or degree of being strong or forceful in effect or influence.
semeval2013.d000.s026.t001	Ministers: High-ranking officials in a government, typically responsible for specific portfolios or departments.
semeval2013.d000.s027.t002	According to the dictionary, "policy" refers to:1. A set of principles or rules that guide the actions of an
semeval2013.d000.s028.t000	Heavyweights: *   Extremely skilled or powerful individuals, especially in a particular activity or profession.
semeval2013.d001.s000.t001	According to the Oxford English Dictionary, "Israel" can be defined as:1. A country in the Middle East, formerly
semeval2013.d001.s001.t002	A team is: a group of people working or competing together as a unit.
semeval2013.d001.s001.t003	Losses: - A reduction or decrease in something, especially in amount, extent, or value; a failure to achieve
semeval2013.d001.s001.t004	According to the Oxford English Dictionary, "performance" is defined as:1. The act of performing or doing something, especially
semeval2013.d001.s001.t005	A team, in this context, refers to a group of individuals who work together towards a common goal or objective, often with
semeval2013.d001.s001.t006	According to the Merriam-Webster Dictionary, "points" can be defined as:1. A score of
semeval2013.d001.s001.t007	The word "top" in the sentence is defined as: 1. The highest or uppermost point or position in a
semeval2013.d001.s001.t008	The word "group" in the sentence refers to a collection of people or things that are similar in nature or character.
semeval2013.d001.s002.t000	The word "team" in the given sentence can be defined as:A group of people working together in a business or organization
semeval2013.d001.s002.t001	The word "absences" in the sentence refers to:1. The act or state of being absent; the state of
semeval2013.d001.s002.t002	The word "involvement" in the sentence refers to the act of participating actively and being deeply engaged in an activity,
semeval2013.d001.s002.t004	The word "end" in the given sentence can be defined as:The point or stage at which something reaches its final position
semeval2013.d001.s003.t001	Here's a dictionary definition for "sidelines":1. (noun) The area on the side of a playing field or
semeval2013.d001.s003.t002	The word "lot" in this sentence is defined as: 1. A part or portion of something, especially a part
semeval2013.d001.s003.t003	According to the Oxford English Dictionary, the word "triumph" can be defined as:"the state of having won
semeval2013.d001.s004.t000	The dictionary definition of "game" in the given sentence is:1. An activity with rules and often a goal or objective
semeval2013.d001.s004.t001	"Favor" in this context means "an advantage or an initial lead in a competition or a situation."
semeval2013.d001.s005.t000	In this sentence, "baskets" refers to basketballs.
semeval2013.d001.s005.t001	The word "perimeter" in the given sentence refers to the area or boundary around a shape or object, especially one that
semeval2013.d001.s005.t002	Speculation: The act of forming opinions or making educated guesses about something without having all the facts.
semeval2013.d001.s006.t000	1. Person who scores (points, runs, etc.) in a game or competition.
semeval2013.d001.s006.t001	The word "end" in the given sentence refers to the final point or stage of something, especially in a competitive game,
semeval2013.d001.s007.t000	In the given sentence, "quarter" refers to a quarter of a unit of time, especially in sports, typically football or
semeval2013.d001.s007.t001	Here's a dictionary definition for "team":1. A group of people working, playing, or competing together as a unit
semeval2013.d001.s007.t003	The word "work" in this sentence can be defined as:* Labor or effort applied to a task or activity.*
semeval2013.d001.s007.t004	The word "whistles" in the given sentence is a noun, and its definition is: "A loud, high-p
semeval2013.d001.s007.t006	The word "return" in the given sentence can be defined as: 1. To come back or go back to a
semeval2013.d001.s007.t007	The dictionary definition of "home" in this context is: A place where one lives or is familiar with, especially one
semeval2013.d001.s007.t008	The dictionary definition of "lead" in this context is: A head start or an advantage in a competition or situation.
semeval2013.d001.s008.t000	Here's a dictionary definition for the word "team":- A group of people working together as a unit or a collective entity
semeval2013.d001.s008.t001	Definition: 1. A point is a unit of measurement of distance, angle, or quantity, especially in geometry or statistics
semeval2013.d001.s008.t002	Definition: - Points (noun): A score or mark given to a player for a specific action in a game, such
semeval2013.d001.s008.t003	According to the Oxford English Dictionary, the word "night" can be defined as:1. The period of darkness between sunset
semeval2013.d001.s009.t000	The word "game" in this sentence can be defined as:1. An activity or contest with rules, especially one involving
semeval2013.d001.s009.t003	The word "pressure" in the given sentence is defined as:1. A force that influences or affects someone or something,
semeval2013.d001.s009.t004	According to Merriam-Webster Dictionary, "game" can be defined as:1. A contest or competition,
semeval2013.d001.s010.t000	The dictionary definition of "role" in the given sentence is:* A part or function that someone or something plays in a
semeval2013.d001.s012.t000	The dictionary definition of "players" is:1. A person who plays a game, especially a sport.2. A
semeval2013.d001.s012.t001	"Couple" in this sentence refers to two items or people that are together.
semeval2013.d001.s012.t002	"Plays" is defined as: 1. A series of actions or movements performed in a sport, especially basketball,
semeval2013.d001.s012.t003	The dictionary definition of "help" in this context is:- assistance or support, especially in a time of need.
semeval2013.d001.s012.t005	The dictionary definition for "lead" in this context is:1. (noun) A ball used in various games, especially
semeval2013.d001.s012.t006	The dictionary definition of "team" in this context is:A group of people, especially athletes, working together as a unit
semeval2013.d001.s012.t007	The dictionary definition of "end" in the context of the sentence is:"The point at which something comes to a close or
semeval2013.d001.s012.t008	The dictionary definition of "quarter" in this context is: a division of a game or a period of time in a
semeval2013.d001.s013.t001	The word "minutes" in this context refers to a period of 60 seconds, as a unit of time.
semeval2013.d001.s014.t000	A group of people, especially those working together for a common purpose.
semeval2013.d001.s014.t001	According to the dictionary, "team" can be defined as:1. A group of people working, playing, or competing
semeval2013.d001.s014.t002	The word "line" in the sentence can be defined as:1. A straight mark or edge, especially one drawn on
semeval2013.d001.s015.t001	Definition: 1. A group of people, usually 11, working or competing together as a unit, especially in a
semeval2013.d001.s015.t003	The word "game" in the given sentence refers to a contest or competition, especially one that is formal or organized.
semeval2013.d001.s015.t005	According to the Oxford English Dictionary, "time" can be defined as:1. A continuous, undivided, or
semeval2013.d001.s015.t006	The word "season" in this context refers to a period of time during which a particular activity or event occurs, especially a
semeval2013.d002.s000.t000	The word "Wall Street" in the given sentence refers to a term used to describe the financial district in Lower Manhattan, New
semeval2013.d002.s000.t002	The word "dollar" in the sentence "Wall Street closes without momentum, slowed by a strengthening dollar" refers to:
semeval2013.d002.s001.t001	Heading (noun): A title or name given to a section or part of something, especially a newspaper or publication.
semeval2013.d002.s001.t003	Market (noun): A place or system where goods and services are bought and sold, especially in large quantities.
semeval2013.d002.s001.t004	Indicators (noun): Information or data used to help make decisions, especially in economics or business.
semeval2013.d002.s001.t005	A geographic term referring to a federal republic in North America.
semeval2013.d002.s001.t006	The word "dollar" in the sentence refers to:A unit of currency in the United States.
semeval2013.d002.s002.t001	Plural noun: numbers or data presented in a numerical form, especially in relation to a particular situation or event.
semeval2013.d002.s002.t006	Predominance: The state of being the most important or dominant in quantity, quality, or influence; the quality or state
semeval2013.d002.s004.t000	Market: A market is a place or system where goods and services are bought and sold, or a situation in which people compete
semeval2013.d002.s005.t002	The word "volumes" in this sentence refers to the quantity or amount of something, especially in relation to financial transactions or
semeval2013.d002.s005.t003	According to the dictionary, "case" in this sentence refers to a situation or circumstance.
semeval2013.d002.s005.t004	The word "end" in this context refers to the final point or period of time.
semeval2013.d002.s005.t005	The word "year" in the given sentence refers to a unit of time, specifically a period of 12 months, equivalent
semeval2013.d002.s006.t000	"Trend" (noun): A direction or pattern in which something is moving or developing, especially in relation to a particular subject
semeval2013.d002.s006.t001	The word "publication" in the sentence refers to the act of making something (in this case, economic indicators) publicly available
semeval2013.d002.s006.t002	- indicators (noun) : signs or facts that show or indicate something, especially a trend or a situation.
semeval2013.d002.s006.t003	Market: A place or system where goods and services are bought and sold, especially a stock market where shares and other securities are
semeval2013.d002.s006.t005	"Relation" is a noun that refers to a connection or link between two or more things.
semeval2013.d002.s006.t007	Recovery: the process of becoming or becoming again in good health, prosperity, or a normal state.
semeval2013.d002.s006.t008	An expert who studies and interprets data and trends to provide advice or forecasts, especially in a financial context.
semeval2013.d002.s007.t000	United States: A republic in North America, consisting of 50 states and a federal district at the southeastern end of Canada.
semeval2013.d002.s007.t003	A month: a period of 30 or 31 days in a year, constituting a unit of time between the beginning
semeval2013.d002.s007.t004	A "row" (noun) is a line of objects or people standing side by side, or a dispute or argument between
semeval2013.d002.s008.t000	- Confidence: A feeling of trust or certainty in something or someone.
semeval2013.d002.s008.t003	"Month" is defined as a period of 30 or 31 days, reckoned as a unit of time, especially
semeval2013.d002.s008.t004	Estimates: 1. a statement or prediction based on incomplete or uncertain information.
semeval2013.d002.s008.t005	A statistical measure, especially one that is used as a standard for comparison, typically based on a set of defined criteria or benchmarks
semeval2013.d002.s009.t000	Indices: A statistical measure or indicator, especially one that is used to represent the performance or value of a particular market, economy
semeval2013.d002.s009.t001	Increase in value or amount.
semeval2013.d002.s009.t002	The word "dollar" in this sentence refers to the United States dollar.
semeval2013.d002.s009.t003	A financial or economic term: - a peak or maximum level of something, especially in value or amount.
