senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval3.d001.s045.t002	2) Make known to the public information that was previously known only to a few people or that was meant to be kept a
senseval3.d001.s045.t003	The most suitable dictionary definition for "holding" in the given sentence is:19) Be pertinent or relevant or applicable
senseval3.d001.s045.t004	1) Not the same one or ones already mentioned or implied- the White Queen
senseval3.d001.s045.t005	8) Anything that contributes causally to a resultIn the context of the sentence, "factors" refers to the
senseval3.d001.s045.t006	1) Not subject or susceptible to change or variation in form or quality or natureIn the context of the sentence, "
senseval3.d001.s045.t007	2) The number that remains after subtraction; the number that when added to the subtrahend gives the minuend
senseval3.d001.s045.t008	2) One of the 50 states of the United StatesIn the context of the sentence, "state" refers
senseval3.d001.s045.t009	7) Greater in number or size or amountIn the context of the sentence, "major" is used to refer to
senseval3.d001.s045.t010	3) An organization to gain political power
senseval3.d001.s045.t011	4) The opinion of a group as determined by voting
senseval3.d001.s045.t012	The most suitable dictionary definition for "going" in the given sentence is:3) Give support (to) or make a
senseval3.d001.s045.t013	2) Relating to or belonging to the Republican Party
senseval3.d001.s045.t015	1) A politician who is running for public office
senseval3.d001.s045.t016	2) Relating to or belonging to the Republican Party
senseval3.d001.s045.t017	3) The allotment of some amount by dividing something
senseval3.d001.s045.t019	14) The lower legislative house of the United States CongressIn the context of the sentence, "house" refers to
senseval3.d001.s045.t020	1) Greater than zero
senseval3.d001.s045.t021	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function)
senseval3.d001.s045.t022	2) One of the 50 states of the United StatesIn the context of the sentence, "state" refers
senseval3.d001.s046.t001	3) National; especially in reference to the government of the United States as distinct from that of its member units
senseval3.d001.s046.t004	4) A specific identifiable position in a continuum or series or especially in a processIn the context of the sentence, "
senseval3.d001.s046.t005	2) One of the portions into which something is regarded as divided and which together constitute a whole.
senseval3.d001.s046.t006	1) Not consistent with or using reason
senseval3.d001.s046.t007	The most suitable dictionary definition for "behavior" in the given sentence is:3) (behavioral attributes) the
senseval3.d001.s046.t009	1) To show, make visible or apparent
senseval3.d001.s046.t012	1) Consistent with or based on or using reason
senseval3.d002.s000.t000	6) Primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration
senseval3.d002.s000.t002	1) The time after sunset and before sunrise while it is dark outside
senseval3.d002.s000.t003	1) Cause extensive destruction or ruin utterly
senseval3.d002.s000.t004	1) Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
senseval3.d002.s000.t005	2) Someone who lives at a particular place for a prolonged period or who was born there
senseval3.d002.s000.t006	2) Try to locate or discover, or try to establish the existence of
senseval3.d002.s000.t007	The most suitable dictionary definition for "comfort" in the given sentence is:4) Satisfaction or physical well-being provided by
senseval3.d002.s000.t008	The most suitable dictionary definition for "solace" in the given sentence is:2) Comfort in disappointment or misery
senseval3.d002.s001.t001	The most suitable dictionary definition which identifies the meaning of "screen" in the sentence "Some found it on the screen of a
senseval3.d002.s002.t001	The most suitable dictionary definition for "made" in the given sentence is:10) Appear to begin an activityThe
senseval3.d002.s002.t003	2) A machine for performing calculations automatically
senseval3.d002.s002.t007	2) Make a logical or causal connection
senseval3.d002.s002.t008	2) A machine for performing calculations automatically
senseval3.d002.s003.t000	1) Having the clarity and freshness of immediate experience
senseval3.d002.s003.t002	The most suitable dictionary definition which identifies the meaning of "came" in the sentence is:11) Be received
senseval3.d002.s003.t004	1) Of or concerned with electrons
senseval3.d002.s004.t001	1) Someone who contracts to receive and pay for a service or a certain number of issues of a publication
senseval3.d002.s004.t002	4) Inhabit or live in; be an inhabitant of
senseval3.d002.s005.t002	3) A period of time equal to 1/24th of a day
senseval3.d002.s005.t003	1) Start running, functioning, or operating
senseval3.d002.s005.t004	1) Move in large numbers
senseval3.d002.s005.t005	1) Of or pertaining to emotion
senseval3.d002.s005.t007	3) A written document describing the findings of some individual or group
senseval3.d002.s006.t001	1) Of or concerned with electrons
senseval3.d002.s006.t002	1) The aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of
senseval3.d002.s007.t000	8) The continuum of experience in which events pass from the future through the present to the past.
senseval3.d002.s007.t001	8) The continuum of experience in which events pass from the future through the present to the past.
senseval3.d002.s007.t004	1) Someone who contracts to receive and pay for a service or a certain number of issues of a publication
senseval3.d002.s007.t005	5) Seek or achieve an end by using to one's advantage
senseval3.d002.s007.t006	4) Recognize as being; establish the identity of someone or something
senseval3.d002.s011.t000	1) A line of approach
senseval3.d002.s011.t002	The most suitable dictionary definition which identifies the meaning of "floor" in the given sentence is:7) A structure consisting of
senseval3.d002.s011.t003	3) Of long duration; not new
senseval3.d002.s011.t004	1) A structure that has a roof and walls and stands more or less permanently in one place
senseval3.d002.s011.t005	The most suitable dictionary definition which identifies the meaning of "heart" in the given sentence is:7) The locus of feelings
senseval3.d002.s012.t000	The most suitable dictionary definition for "fallen" in the given sentence is:14) Go as if by fallingThis
senseval3.d002.s012.t001	2) Someone who pastes up bills or placards on walls or billboards
senseval3.d002.s012.t002	1) A framework in which a picture is mounted
senseval3.d002.s012.t003	2) A brittle transparent solid with irregular atomic structure
senseval3.d002.s012.t004	8) The inside lower horizontal surface (as of a room, hallway, tent, or other structure).In the given sentence
senseval3.d002.s012.t006	3) Affording unobstructed entrance and exit; not shut or closed
senseval3.d002.s012.t007	8) The inside lower horizontal surface (as of a room, hallway, tent, or other structure).In the given sentence
senseval3.d002.s015.t000	1) Preferred above all others and treated with partiality
senseval3.d002.s015.t001	2) Wait before acting
senseval3.d002.s015.t002	The most suitable dictionary definition for "game" in the sentence "I was in my favorite watering hole, waiting for the
senseval3.d002.s015.t003	The most suitable dictionary definition for "start" in the sentence "I was in my favorite watering hole, waiting for the
senseval3.d002.s016.t000	The most suitable dictionary definition which identifies the meaning of "felt" in the given sentence is:5) Perceive by a
senseval3.d002.s016.t002	The most suitable dictionary definition which identifies the meaning of "begin" in the given sentence is:5) Have a beginning,
senseval3.d002.s016.t003	2) Throw a glance at; take a brief look at
senseval3.d002.s016.t004	7) A piece of furniture having a smooth flat top that is usually supported by one or more vertical legs.
senseval3.d002.s016.t005	1) Nearest in space or position; immediately adjoining without intervening space
senseval3.d002.s016.t006	1) Change one's facial expression by spreading the lips, often to signal pleasure
senseval3.d002.s016.t007	1) Responsible for or chargeable with a reprehensible act
senseval3.d002.s016.t009	3) Articulate silently; form words with the lips only
senseval3.d002.s016.t010	9) A unit of language that native speakers can identify
senseval3.d002.s016.t011	1) Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
senseval3.d002.s017.t000	6) Primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration
senseval3.d002.s017.t001	The most suitable dictionary definition for "takes" in the sentence "That's usually how long it takes for the tembl
senseval3.d002.s017.t003	The most suitable definition for "pass" in the sentence "That's usually how long it takes for the temblors to
senseval3.d002.s018.t000	8) The continuum of experience in which events pass from the future through the present to the past.
senseval3.d002.s018.t001	The most suitable dictionary definition for "got" in the given sentence is:37) Acquire as a result of some
senseval3.d002.s018.t002	1) A structure that has a roof and walls and stands more or less permanently in one place
senseval3.d002.s018.t003	The most suitable dictionary definition for "started" in the given sentence is:5) Begin or set in motionThis
senseval3.d002.s018.t004	8) Shake or vibrate rapidly and intensively
senseval3.d002.s018.t005	2) A young person of either sex
senseval3.d002.s018.t006	5) An artifact designed to be played with
senseval3.d002.s018.t007	7) A three-dimensional shape with six square or rectangular sides.
senseval3.d002.s018.t008	4) Move or stir about violently
senseval3.d002.s021.t000	The most suitable dictionary definition for "library" in the given sentence is:4) A collection of literary documents or records kept
senseval3.d002.s021.t001	The most suitable dictionary definition for "hit" in the sentence "I was in the Berkeley Main library when it hit" is
senseval3.d002.s022.t000	2) Continuing in time or space without interruption
senseval3.d002.s022.t001	4) An indefinitely short time
senseval3.d002.s022.t002	1) Have a wish or desire to know something
senseval3.d002.s022.t004	5) A framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit
senseval3.d002.s022.t005	2) Fold or collapse
senseval3.d002.s022.t006	1) Spray or sprinkle with
senseval3.d002.s022.t007	2) A brittle transparent solid with irregular atomic structure
senseval3.d002.s023.t001	8) Physical objects consisting of a number of pages bound together
senseval3.d002.s023.t002	The most suitable dictionary definition for "fell" in the sentence "Only a few books fell in the reading room" is
senseval3.d002.s024.t001	2) A substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid
senseval3.d002.s024.t002	1) A mercantile establishment for the retail sale of goods or services
senseval3.d002.s024.t003	8) The event of something burning (often destructive).
senseval3.d002.s024.t004	1) Cause to be directed or transmitted to another place
senseval3.d002.s024.t006	4) Any collection of particles (e.g., smoke or dust) or gases that is visible
senseval3.d002.s024.t007	7) Being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident
senseval3.d002.s024.t008	5) A hot vapor containing fine particles of carbon being produced by combustion
senseval3.d002.s024.t009	5) A mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
senseval3.d002.s027.t001	3) Being satisfactory or in satisfactory condition
senseval3.d002.s028.t000	1) A structure that has a roof and walls and stands more or less permanently in one place
senseval3.d002.s028.t001	1) Move with or as if with a tremor
senseval3.d002.s028.t002	1) Used ironically to indicate the opposite of what is stated
senseval3.d002.s028.t003	The most suitable dictionary definition for "kept" in the sentence "This building shook like hell and it kept getting stronger"
senseval3.d002.s028.t004	The most suitable dictionary definition for "getting" in the sentence "This building shook like hell and it kept getting stronger"
senseval3.d002.s029.t001	6) Cause to burst with a violent release of energy
senseval3.d002.s029.t002	2) Cause to undergo combustion
senseval3.d002.s029.t004	5) An entity that is not named specifically
senseval3.d002.s029.t005	1) Not disturbed by strife or turmoil or war
senseval3.d002.s030.t000	3) Any collection in its entirety
senseval3.d002.s030.t001	2) A motor vehicle with four wheels; usually propelled by an internal combustion engine
senseval3.d002.s030.t002	2) A device that signals the occurrence of some undesirable event
senseval3.d002.s030.t003	4) Be discharged or activatedIn the context of car alarms, "went off" means that the alarms were triggered and
senseval3.d002.s031.t000	2) Feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
senseval3.d002.s031.t001	3) Being satisfactory or in satisfactory condition
senseval3.d002.s031.t002	4) Causing or fraught with or showing anxiety
senseval3.d002.s034.t001	8) The event of something burning (often destructive).
senseval3.d002.s035.t001	The most suitable dictionary definition for "fill" in the sentence "Areas that are made of `fill'liquefy
senseval3.d002.s035.t002	1) Make (a solid substance) liquid, as by heating
senseval3.d002.s036.t000	2) An adult female person (as opposed to a man)
senseval3.d002.s036.t003	2) (usually followed by `to') having the necessary means or skill or know-how or authority to do something
senseval3.d002.s036.t004	9) Use one's feet to advance; advance by steps
senseval3.d002.s036.t005	5) A framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit
senseval3.d002.s036.t007	8) The inside lower horizontal surface (as of a room, hallway, tent, or other structure).In the context of
senseval3.d002.s036.t008	1) The part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel
senseval3.d002.s036.t009	2) Height above ground
senseval3.d002.s037.t000	1) A dwelling that serves as living quarters for one or more families
senseval3.d002.s037.t001	2) The loose soft material that makes up a large part of the land surface
senseval3.d002.s040.t000	The most suitable dictionary definition for "driving" in the given sentence is:5) Operate or control a vehicle.
senseval3.d002.s040.t001	1) A large truck designed to carry heavy loads; usually without sides
senseval3.d002.s040.t002	1) Come to a halt, stop moving
senseval3.d002.s040.t003	1) The signal to stop
senseval3.d002.s040.t004	The most suitable dictionary definition for "corner" in the given sentence is:5) The intersection of two streets.This
senseval3.d002.s040.t006	The most suitable dictionary definition for "hit" in the given sentence is:16) Hit against; come into sudden contact
senseval3.d002.s041.t000	2) One of the portions into which something is regarded as divided and which together constitute a whole.
senseval3.d002.s041.t001	1) Follow with the eyes or the mind
senseval3.d002.s041.t003	1) Move in a wavy pattern or with a rising and falling motion
senseval3.d002.s041.t004	The most suitable dictionary definition which identifies the meaning of "head" in the sentence "Worst part was watching power lines waving
senseval3.d002.s041.t005	The most suitable dictionary definition for "way" in the given sentence is:13) The condition of things generallyIn
senseval3.d002.s041.t006	The most suitable dictionary definition for "drive" in the given sentence is:2) Travel or be transported in a vehicle.
senseval3.d002.s044.t000	1) A linear unit of length equal to 12 inches or a third of a yard
senseval3.d002.s044.t001	1) A platform built out from the shore into the water and supported by piles; provides access to ships and boats
senseval3.d002.s045.t001	3) Sensational in appearance or thrilling in effect
senseval3.d002.s046.t001	1) A very thin line
senseval3.d002.s046.t002	2) A blemish resulting from a break without complete separation of the parts
senseval3.d002.s047.t000	3) Destroy completely; damage irreparably
senseval3.d002.s047.t001	1) Expletives used informally as intensifiers
senseval3.d002.s050.t001	2) Coming next after the first in position in space or time or degree or magnitude.
senseval3.d002.s050.t002	7) A structure consisting of a room or set of rooms at a single position along a vertical scale.
senseval3.d002.s051.t000	1) Listen and pay attention
senseval3.d002.s051.t001	2) One of the portions into which something is regarded as divided and which together constitute a whole.
senseval3.d002.s051.t002	1) A structure that has a roof and walls and stands more or less permanently in one place
senseval3.d002.s051.t003	The most suitable dictionary definition which identifies the meaning of "head" in the sentence "I heard parts of the building above my
senseval3.d002.s051.t004	The most suitable dictionary definition for "cracking" in the sentence "I heard parts of the building above my head cracking
senseval3.d002.s052.t000	The most suitable dictionary definition for "thought" in the sentence "I actually thought that I might die" is:4
senseval3.d002.s052.t001	2) Pass from physical life and lose all bodily attributes and functions necessary to sustain life
senseval3.d002.s053.t000	1) Reach, make, or come to a decision about something
senseval3.d002.s053.t001	6) Move toward, travel toward something or somebody or approach something or somebody
senseval3.d002.s053.t002	The most suitable dictionary definition for "home" in the given sentence is:1) A dwelling that serves as living quarters for
senseval3.d002.s053.t003	13) A building in which something is sheltered or located.
senseval3.d002.s053.t004	1) One of two stout poles with foot rests in the middle; used for walking high above the ground
senseval3.d002.s054.t000	1) Reach, make, or come to a decision about something
senseval3.d002.s055.t001	1) The act of perceiving the odor of something
senseval3.d002.s055.t002	1) A volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum
senseval3.d002.s055.t003	The most suitable definition for "passed" in the given sentence is:14) Travel pastThe sentence describes the
senseval3.d002.s055.t005	1) Travel across or pass over
senseval3.d002.s056.t000	The most suitable dictionary definition for "see" in the given sentence is:15) Perceive by sight or have the
senseval3.d002.s056.t001	1) A visible mass of water or ice particles suspended at a considerable altitude
senseval3.d002.s056.t002	2) An indentation of a shoreline larger than a cove but smaller than a gulf
senseval3.d002.s056.t004	8) The event of something burning (often destructive).
senseval3.d002.s057.t000	The most suitable dictionary definition for "felt" in the sentence "I have felt many aftershocks" is:5)
senseval3.d002.s058.t000	3) The posterior part of a human (or animal) body from the neck to the end of the spine
senseval3.d002.s058.t002	5) The (prehensile) extremity of the superior limb
senseval3.d002.s058.t003	The most suitable dictionary definition for "shaking" in the sentence "My back is still in knots and my hands are still
senseval3.d002.s059.t000	The most suitable dictionary definition for "think" in the given sentence is:5) Expect, believe, or supposeThe
senseval3.d002.s059.t003	13) A linear unit used to measure the size of type; approximately 1/72 inch
senseval3.d002.s059.t004	1) Move with or as if with a tremor
senseval3.d002.s062.t000	The most suitable dictionary definition for "see" in the sentence "I could see the flames from San Francisco from my house across
senseval3.d002.s062.t002	1) A dwelling that serves as living quarters for one or more families
senseval3.d002.s062.t003	2) An indentation of a shoreline larger than a cove but smaller than a gulf
senseval3.d002.s063.t000	6) Not easy; requiring great physical or mental effort to accomplish or comprehend or endure
senseval3.d002.s063.t001	1) Accept as true; take to be true
senseval3.d002.s063.t002	3) Happen, occur, or be the case in the course of events or by chance (Santayana)
senseval3.d002.s066.t000	1) A structure that has a roof and walls and stands more or less permanently in one place
senseval3.d002.s066.t001	2) A projecting part where two sides or edges meet
senseval3.d002.s066.t002	1) Grow worse
senseval3.d002.s066.t003	5) (used especially of persons) having lived for a relatively long time or attained a specific age
senseval3.d002.s066.t004	1) An adult female person (as opposed to a man)
senseval3.d002.s066.t005	5) (used especially of persons) having lived for a relatively long time or attained a specific age
senseval3.d002.s066.t006	The most suitable dictionary definition which identifies the meaning of "mother" in the given sentence is:6) A woman who has
senseval3.d002.s067.t000	8) Physical objects consisting of a number of pages bound together
senseval3.d002.s068.t000	2) Write by means of a keyboard with types
senseval3.d002.s068.t001	3) (of persons) on the feet; having the torso in an erect position supported by straight legs
senseval3.d002.s068.t002	The most suitable dictionary definition which identifies the meaning of "position" in the sentence "This being typed in a standing position"
senseval3.d002.s072.t000	The most suitable dictionary definition for "feel" in the given sentence is:2) Undergo an emotional sensation or be
senseval3.d002.s072.t001	5) An entity that is not named specifically
senseval3.d002.s072.t002	4) Notice or perceive
senseval3.d002.s072.t003	1) Being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
senseval3.d002.s072.t004	2) Warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
senseval3.d002.s072.t005	3) (behavioral attributes) the way a person behaves toward other people
senseval3.d002.s073.t000	4) Small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
senseval3.d002.s073.t001	1) A group of many things in the air or on the ground
senseval3.d002.s076.t000	The most suitable dictionary definition for "felt" in the sentence "I just felt another aftershock a few seconds ago"
senseval3.d002.s076.t003	8) A particular point in time
senseval3.d002.s077.t000	2) Lacking sensation
senseval3.d002.s080.t001	3) Seem to be true, probable, or apparent
senseval3.d002.s080.t002	2) One of the portions into which something is regarded as divided and which together constitute a whole.
senseval3.d002.s080.t003	3) An urban area with a fixed boundary that is smaller than a city
senseval3.d002.s081.t001	1) Electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
senseval3.d002.s081.t002	1) Informal terms for a difficult situation
senseval3.d002.s081.t004	1) Fermented juice (of grapes especially)
senseval3.d002.s081.t005	8) The inside lower horizontal surface (as of a room, hallway, tent, or other structure).In the given sentence
senseval3.d002.s081.t006	3) Above average in size or number or quantity or magnitude or extent
senseval3.d002.s081.t007	3) Of long duration; not new
senseval3.d002.s082.t000	3) Case for holding arrows
senseval3.d002.s082.t002	1) A dwelling that serves as living quarters for one or more families
senseval3.d002.s082.t004	1) A unit of time equal to 60 seconds or 1/60th of an hour
senseval3.d002.s082.t005	1) Not occurring at expected times
senseval3.d002.s082.t006	1) A definite length of time marked off by two instants
senseval3.d002.s082.t007	1) Brownish-grey Old World mouse now a common household pest worldwide
senseval3.d002.s082.t008	4) Inhabit or live in; be an inhabitant of
senseval3.d002.s082.t010	The most suitable dictionary definition for "taken" in the given sentence is:24) Accept or undergo, often unwilling
senseval3.d002.s082.t011	2) A shelter from danger or hardship
senseval3.d002.s083.t001	2) Generalized feeling of distress
senseval3.d002.s084.t001	4) Move by turning over or rotating
senseval3.d002.s084.t002	3) An urban area with a fixed boundary that is smaller than a city
senseval3.d002.s086.t000	5) An entity that is not named specifically
senseval3.d002.s086.t001	The most suitable dictionary definition for "got" in the given sentence is:37) Acquire as a result of some
senseval3.d002.s086.t002	The most suitable dictionary definition for "ran" in the given sentence is:42) Run, stand, or compete for
senseval3.d002.s086.t003	1) A swinging or sliding barrier that will close the entrance to a room or building or vehicle
senseval3.d002.s086.t004	1) Spend completely
senseval3.d002.s086.t005	2) Immediately following in time or order
senseval3.d002.s086.t007	1) A unit of time equal to 60 seconds or 1/60th of an hour
senseval3.d002.s086.t008	1) Follow with the eyes or the mind
senseval3.d002.s086.t009	2) Rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
senseval3.d002.s086.t011	11) The part of the leg of a human being below the ankle joint
senseval3.d002.s086.t013	1) Reproductive organ of angiosperm plants especially one having showy or colorful parts
senseval3.d002.s086.t014	1) Move in a wavy pattern or with a rising and falling motion
senseval3.d002.s086.t016	4) Recurring at regular intervals
senseval3.d002.s087.t000	The most suitable dictionary definition for "Amazing" in the given sentence is:2) Inspiring awe or admiration or wonder
senseval3.d002.s087.t001	16) Give rise to; cause to happen or occur, not always intentionally
senseval3.d002.s087.t002	1) A single person or thing
senseval3.d002.s087.t004	1) A single person or thing
senseval3.d002.s088.t000	4) Perceive with attention; direct one's gaze towards
senseval3.d002.s088.t001	2) Not agitated; without losing self-possession
senseval3.d002.s088.t002	1) Resembling a dream
senseval3.d002.s088.t003	5) Less than normal in degree or intensity or amountIn the context of the sentence, "low level of confusion"
senseval3.d002.s088.t004	1) A position on a scale of intensity or amount or qualityIn the sentence "Everyone looked calm, but there was
senseval3.d002.s088.t005	4) A mental state characterized by a lack of clear and orderly thought and behavior
senseval3.d002.s088.t007	The most suitable dictionary definition for "continued" in the given sentence is:8) Continue a certain state, condition, or
senseval3.d002.s091.t001	3) Seem to be true, probable, or apparent
senseval3.d002.s091.t003	1) The time after sunset and before sunrise while it is dark outside
senseval3.d002.s091.t004	The most suitable dictionary definition for "doing" in the given sentence is:11) Carry out or perform an
senseval3.d002.s091.t007	3) The subjective sensation of hearing something
senseval3.d002.s091.t008	The most suitable dictionary definition which identifies the meaning of "lights" in the given sentence is:15) A visual effect
senseval3.d002.s092.t000	1) A person you know well and regard with affection and trust
senseval3.d002.s092.t001	1) Under the level of the ground
senseval3.d002.s092.t002	2) A machine for performing calculations automatically
senseval3.d002.s092.t003	The most suitable dictionary definition which identifies the meaning of "center" in the given sentence is:11) A place where
senseval3.d002.s092.t006	11) Affect or afflict suddenly, usually adversely
senseval3.d002.s093.t000	6) Utter aloud
senseval3.d002.s093.t001	2) A machine for performing calculations automatically
senseval3.d002.s093.t005	The most suitable dictionary definition for "sliding" in the given sentence is:2) Move smoothly along a surfaceThis
senseval3.d002.s093.t006	8) The inside lower horizontal surface (as of a room, hallway, tent, or other structure).
senseval3.d002.s094.t000	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
senseval3.d002.s094.t002	3) (plural) any group of human beings (men or women or children) collectively
senseval3.d002.s094.t003	5) Be fully aware or cognizant of
senseval3.d002.s094.t004	6) Not easy; requiring great physical or mental effort to accomplish or comprehend or endure
senseval3.d002.s094.t005	The most suitable dictionary definition for "life" in the given sentence is:7) The experience of being alive; the course
senseval3.d002.s097.t000	The most suitable dictionary definition for "got" in the given sentence is:37) Acquire as a result of some
senseval3.d002.s097.t001	1) A dwelling that serves as living quarters for one or more families
senseval3.d002.s097.t002	4) Consent to, give permission
senseval3.d002.s097.t003	2) A member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since
senseval3.d002.s097.t004	13) A building in which something is sheltered or located.
senseval3.d002.s097.t005	4) Notice or perceive
senseval3.d002.s097.t006	3) The subjective sensation of hearing something
senseval3.d002.s097.t007	The most suitable dictionary definition which identifies the meaning of "head" in the given sentence is:24) The upper part
senseval3.d002.s097.t009	9) Use one's feet to advance; advance by steps
senseval3.d002.s097.t010	3) A protective covering that covers or forms the top of a building
senseval3.d002.s098.t000	1) Discover or determine the existence, presence, or fact of
senseval3.d002.s098.t001	2) A motor vehicle with four wheels; usually propelled by an internal combustion engine
senseval3.d002.s098.t002	5) Move up and down repeatedly
senseval3.d002.s099.t000	5) Be fully aware or cognizant of
senseval3.d002.s099.t001	The most suitable dictionary definition for "happening" in the given sentence is:3) Happen, occur, or
senseval3.d002.s099.t002	2) Utter a sudden loud cry
senseval3.d002.s099.t003	1) A dwelling that serves as living quarters for one or more families
senseval3.d002.s099.t004	2) A member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since
senseval3.d002.s100.t001	1) A swinging or sliding barrier that will close the entrance to a room or building or vehicle
senseval3.d002.s100.t007	11) The part of the leg of a human being below the ankle joint
senseval3.d002.s100.t008	2) A member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since
senseval3.d002.s100.t009	6) Move toward, travel toward something or somebody or approach something or somebody
senseval3.d002.s100.t011	2) A member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since
senseval3.d002.s100.t012	The most suitable dictionary definition for "stood" in the given sentence is:12) Occupy a place or location,
senseval3.d002.s100.t014	1) Follow with the eyes or the mind
senseval3.d002.s100.t015	3) Relating to or being on or near the outer side or limit
senseval3.d002.s100.t016	2) Skip, leap, or move up and down or sidewaysIn the given sentence, the trash cans are not moving
senseval3.d002.s101.t000	5) Be fully aware or cognizant of
senseval3.d002.s101.t001	The most suitable dictionary definition for "went" in the given sentence is:2) Move away from a place into another direction
senseval3.d002.s101.t002	The most suitable dictionary definition for "stood" in the given sentence is:12) Occupy a place or location,
senseval3.d002.s101.t004	1) A dwelling that serves as living quarters for one or more families
senseval3.d002.s101.t005	2) Wait before acting
senseval3.d002.s101.t006	1) Call upon in supplication; entreat
senseval3.d002.s101.t007	6) Move toward, travel toward something or somebody or approach something or somebody
senseval3.d002.s101.t008	4) An environment offering affection and security
senseval3.d002.s101.t010	The most suitable dictionary definition for "got" in the given sentence is:37) Acquire as a result of some
senseval3.d002.s102.t000	2) The period during which something is functional (as between birth and death)
senseval3.d002.s103.t000	The most suitable dictionary definition for "saw" in the given sentence is:13) See or watch
senseval3.d002.s103.t001	The most suitable dictionary definition for "pictures" in the given sentence is:13) A visual representation (of an
senseval3.d002.s103.t002	5) Have a beginning, of a temporal event
senseval3.d002.s103.t003	4) Shed tears because of sadness, rage, or pain
senseval3.d002.s106.t000	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval3.d002.s106.t002	3) (plural) any group of human beings (men or women or children) collectively
senseval3.d002.s106.t003	2) A member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since
senseval3.d002.s106.t004	2) Walk with no particular goal
senseval3.d002.s106.t005	4) Take in liquids
senseval3.d002.s109.t000	2) Be seated
senseval3.d002.s109.t001	3) Get together socially or for a specific purposeIn the context of the sentence, "meet" is used to
senseval3.d002.s109.t002	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval3.d002.s109.t004	1) Someone who pays for goods or services
senseval3.d002.s109.t005	1) A pair of people who live together
senseval3.d002.s109.t006	1) A structure that has a roof and walls and stands more or less permanently in one place
senseval3.d002.s109.t007	The most suitable dictionary definition for "started" in the given sentence is:5) Begin or set in motionThis
senseval3.d002.s109.t008	8) Shake or vibrate rapidly and intensively
senseval3.d002.s110.t000	2) Lacking solidity or strength
senseval3.d002.s110.t001	5) The manner of construction of something and the arrangement of its parts
senseval3.d002.s110.t002	The most suitable dictionary definition for "built" in the given sentence is:9) Give form to, according to a plan
senseval3.d002.s110.t003	7) Supporting structure that holds up or provides a foundation
senseval3.d002.s110.t004	1) Move back and forth or sideways
senseval3.d002.s111.t000	1) Come to a halt, stop moving
senseval3.d002.s111.t001	2) Allow the passage of air through
senseval3.d002.s111.t002	2) An indefinitely short time
senseval3.d002.s111.t003	The most suitable dictionary definition for "kept" in the given sentence is:9) Continue a certain state, condition,
senseval3.d002.s111.t004	6) Move toward, travel toward something or somebody or approach something or somebody
senseval3.d002.s112.t001	4) State as one's opinion or judgement; declare
senseval3.d002.s112.t004	1) A meeting devoted to a particular activity
senseval3.d002.s116.t000	1) A source of difficulty
senseval3.d002.s116.t002	3) Primary social group; parents and children
senseval3.d002.s116.t005	1) Spend completely
senseval3.d002.s116.t007	3) A period of time equal to 1/24th of a day
senseval3.d002.s116.t008	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval3.d002.s119.t002	The most suitable dictionary definition for "started" in the sentence "Judy and I were in our back yard when the
senseval3.d002.s119.t003	The most suitable dictionary definition for "rolling" in the sentence "Judy and I were in our back yard when the lawn
senseval3.d002.s119.t004	2) A large body of water constituting a principal part of the hydrosphere
senseval3.d002.s119.t005	1) One of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
senseval3.d002.s120.t000	The most suitable dictionary definition for "ran" in the given sentence is:4) Move fast by using one's feet,
senseval3.d002.s120.t001	13) A building in which something is sheltered or located.
senseval3.d002.s120.t002	The most suitable dictionary definition for "get" in the given sentence is:37) Acquire as a result of some
senseval3.d002.s120.t003	2) Immediately following in time or order
