senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval3.d000.s107.t000	The correct answer is:5) Observe with care or pay close attention toIn this sentence, "noticed" means
senseval3.d000.s107.t001	6) A language unit by which a person or thing is known.In this context, "name" refers to the word
senseval3.d000.s107.t002	9) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.This definition fits the
senseval3.d000.s107.t003	2) Be seated.This definition best captures the meaning of "sit down" in the given sentence, as it implies that
senseval3.d000.s108.t000	12) The generic use of the word to refer to any human being
senseval3.d000.s108.t001	Neither of the given definitions directly describe the meaning of "uncanny" in the context of the sentence.However, if I
senseval3.d000.s108.t002	3) Relative darkness caused by light rays being intercepted by an opaque body.This definition is the most suitable for the context of
senseval3.d000.s108.t003	The most suitable definition for "made" in the given sentence is:4) Represent fictitiously, as in a play
senseval3.d000.s108.t005	3) Sound of any kind (especially unintelligible or dissonant sound)
senseval3.d000.s108.t006	3) Relative darkness caused by light rays being intercepted by an opaque body.This definition best describes the meaning of "shadow"
senseval3.d000.s109.t001	The correct answer is 4) Become smaller or draw together.In this sentence, "Haney felt like shrinking" is
senseval3.d000.s109.t003	4) To hold fast or prevent from moving.In this context, the sentence implies that Haney feels confined or restricted,
senseval3.d000.s109.t004	The most suitable dictionary definition which identifies the meaning of "corner" among the given options is:2) A projecting part where
senseval3.d000.s109.t005	3) Lean and sinewy.This definition best fits the context of the sentence, as it describes Haney's physical
senseval3.d000.s109.t007	5) Small in a way that arouses feelings (of tenderness or its opposite depending on the context)In this sentence
senseval3.d000.s109.t008	12) The generic use of the word to refer to any human being.This definition is the most suitable for the sentence,
senseval3.d000.s110.t000	11) Take the first step or steps in carrying out an action.This definition fits the context of the sentence, as "
senseval3.d000.s110.t001	1) Hope for; have a wish
senseval3.d000.s110.t002	2) Utter a sudden loud cryIn the context of the sentence, the speaker is expressing regret over something they said
senseval3.d000.s110.t003	3) Very unusual; different in character or quality from the normal or expected.In this sentence, "other" is used
senseval3.d000.s110.t004	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)This definition best fits
senseval3.d000.s110.t005	1) A large truck designed to carry heavy loads; usually without sides.This definition best fits the context of the sentence,
senseval3.d000.s110.t006	The correct definition is: 6) Exert a force or cause a strain uponIn this context, "bore
senseval3.d000.s110.t007	3) A path (often marked) where something (as a street or railroad) can be crossed to get from one side
senseval3.d000.s111.t000	2) Load or burden; encumberIn this context, "saddled" is used figuratively to mean burden
senseval3.d000.s111.t001	5) Someone unpleasantly strange or eccentric.
senseval3.d000.s112.t000	The most suitable dictionary definition for the meaning of "start" in the sentence is:5) Begin or set in motion
senseval3.d000.s112.t001	20) Enter or assume a certain state or conditionThis definition best fits the context of the sentence, as the speaker is
senseval3.d000.s112.t002	1) Not the same one or ones already mentioned or implied
senseval3.d000.s112.t003	The most suitable definition of "places" in the given sentence is:11) Where you live at a particular time.This
senseval3.d000.s113.t000	Based on the context, the most suitable definition for "low" is:9) Used of sounds and voices; low in
senseval3.d000.s113.t001	5) A sound suggestive of a vocal utterance
senseval3.d000.s113.t003	12) The generic use of the word to refer to any human being.This definition best fits the context of the sentence,
senseval3.d000.s113.t004	4) Address a question to and expect an answer from
senseval3.d000.s113.t005	1) Enjoying or showing or marked by joy or pleasure
senseval3.d000.s113.t006	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
senseval3.d000.s114.t000	10) Appear to begin an activityThis definition best describes the meaning of "made" in the sentence, as it
senseval3.d000.s114.t001	1) A wrong action attributable to bad judgment or ignorance or inattention
senseval3.d000.s114.t002	8) React to a stimulus or command.In this context, "answering" means responding to a question or stimulus
senseval3.d000.s114.t004	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
senseval3.d000.s114.t005	2) Perceive (an idea or situation) mentally.This definition best fits the context of the sentence, where the speaker
senseval3.d000.s114.t006	1) Doubt about the truth of somethingThis definition more closely matches the meaning of "skepticism" in
senseval3.d000.s114.t007	11) Be or become visible or noticeable
senseval3.d000.s114.t008	10) The front of the human head from the forehead to the chin and ear to ear.
senseval3.d000.s114.t009	The most suitable dictionary definition which identifies the meaning of "voice" in the given sentence is:6) The sound made by
senseval3.d000.s115.t001	2) Undergo a change or developmentIn the given sentence, "became" indicates a change in Pete's emotional
senseval3.d000.s115.t002	1) Experiencing or showing sorrow or unhappiness
senseval3.d000.s115.t003	The most suitable dictionary definition which identifies the meaning of "moody" is:2) Showing a brooding ill humor
senseval3.d000.s116.t000	4) Feel or have a desire for; want strongly.This definition best fits the context of the sentence, as Haney
senseval3.d000.s116.t001	1) Inspire with confidence; give hope or courage to.In the given sentence, Haney didn't want to encourage
senseval3.d000.s116.t002	11) The members of a business organization that owns or operates one or more establishments.In the given sentence, "company"
senseval3.d000.s116.t003	9) Be felt or perceived in a certain way.In the sentence, Haney didn't "feel" in the sense
senseval3.d000.s116.t004	2) Obtain by purchase; acquire by means of a financial transaction
senseval3.d000.s116.t005	4) Any liquid suitable for drinking
senseval3.d000.s116.t006	2) Stop (someone or something) from doing something or being in a certain state.The sentence suggests that Haney is
senseval3.d000.s116.t007	The most suitable dictionary definition for "possible" in the given sentence is:2) Capable of happening or existing.This
senseval3.d000.s116.t008	1) A source of difficultyIn the sentence, Haney is trying to prevent "trouble" (i.e.,
senseval3.d000.s117.t000	The most suitable dictionary definition for "trouble" in the sentence is:1) A source of difficultyThis definition best
senseval3.d000.s118.t000	2) An informal term for a youth or man.
senseval3.d000.s118.t002	4) Any liquid suitable for drinking.The sentence implies that the person is upset about something (Haney's lack of appreciation
senseval3.d000.s118.t003	4) Cause to lose one's composureIn this context, "upset" is used to describe someone losing their
senseval3.d000.s118.t005	2) An expression of gratitude
senseval3.d000.s119.t000	The most suitable definition of "break" in the given context is:3) Break down, literally or metaphoricallyThis
senseval3.d000.s119.t001	1) Conducive to or feeling mental discomfortThis definition is more suitable for the context of the sentence, as it
senseval3.d000.s119.t002	2) The state of being silent (as when no one is speaking).
senseval3.d000.s119.t003	6) Be the first item or point, constitute the beginning or start, come first in a series.This definition best fits
senseval3.d000.s119.t004	6) Exchange thoughts; talk withThis definition best fits the context of the sentence, as Haney is initiating a conversation
senseval3.d000.s120.t000	4) Any liquid suitable for drinking.This definition encompasses the meaning of "drinks" in the given sentence, as it
senseval3.d000.s120.t001	2) Express complaints, discontent, displeasure, or unhappiness
senseval3.d000.s120.t003	1) The subject matter of a conversation or discussion
senseval3.d000.s120.t004	1) A unit of time equal to 60 seconds or 1/60th of an hour
senseval3.d000.s120.t005	5) Observe with care or pay close attention to
senseval3.d000.s120.t007	8) A sense of concern with and curiosity about someone or something.In this context, the speaker notices a renewed interest in
senseval3.d000.s120.t009	11) Be or become visible or noticeableThis definition fits the context of the sentence, where it describes the change in the
senseval3.d000.s120.t010	The most suitable dictionary definition for the meaning of "alert" in the given sentence is:4) Knowing and perceiving;
senseval3.d000.s120.t011	10) The front of the human head from the forehead to the chin and ear to ear.This definition accurately identifies the meaning
senseval3.d000.s120.t012	5) Clear and sharp and ringing
senseval3.d000.s120.t013	5) The organ of sight.
senseval3.d000.s121.t000	Both definitions 1 and 2 are suitable, but the most suitable one in this context is:1) Cease an
senseval3.d000.s121.t001	The most suitable definition for "moisten" in the given sentence is:1) Make moistThis definition fits the context
senseval3.d000.s121.t002	1) The passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
senseval3.d000.s121.t003	1) An individual that one is not acquainted with.This definition is the most suitable because the sentence states "the stranger broke
senseval3.d000.s121.t004	6) Enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a
senseval3.d000.s122.t000	4) Give money, usually in exchange for goods or services
senseval3.d000.s122.t001	9) An itemized statement of money owed for goods shipped or services rendered.
senseval3.d000.s123.t001	1) Not the same one or ones already mentioned or implied
senseval3.d000.s123.t002	12) The generic use of the word to refer to any human being.
senseval3.d000.s123.t004	4) State as one's opinion or judgement; declare
senseval3.d000.s123.t005	2) Get a divorce; formally terminate a marriage.
senseval3.d000.s125.t000	1) A person (usually but not necessarily a woman) who is thoroughly dislikedThis definition best fits the context of the
senseval3.d000.s125.t001	I'll choose definition 1) Have a great affection or liking for.In this context, the speaker is expressing disdain or
senseval3.d000.s126.t000	8) Come into the possession of something concrete or abstract.
senseval3.d000.s126.t001	1) One of two equal parts of a divisible whole
senseval3.d000.s126.t002	6) Have ownership or possession of.
senseval3.d000.s127.t001	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each.In this context, "deal"
senseval3.d000.s128.t001	2) A commercial or industrial enterprise and the people who constitute it.
senseval3.d000.s128.t003	4) Any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a
senseval3.d000.s130.t000	1) Express or signify by nodding
senseval3.d000.s132.t000	The most suitable dictionary definition for the sentence "Now I see" is:1) Perceive (an idea or situation)
senseval3.d000.s133.t000	4) Know and comprehend the nature or meaning of
senseval3.d000.s133.t001	11) A state of depression or agitation
senseval3.d000.s134.t000	6) Move toward, travel toward something or somebody or approach something or somebody.The sentence "I came out here to retire
senseval3.d000.s134.t001	10) Go into retirement; stop performing one's work or withdraw from one's position.This definition best matches the context of
senseval3.d000.s135.t000	The most suitable definition for "do" in the sentence is:12) Get (something) doneThis definition implies that
senseval3.d000.s135.t001	1) Able to act at will; not hampered; not under compulsion or restraint
senseval3.d000.s135.t002	4) The principal activity in your life that you do to earn money.This definition is the most suitable for the sentence "
senseval3.d000.s136.t000	5) Inform positively and with certainty and confidence.This definition of "told" implies that someone was informed or made aware
senseval3.d000.s137.t000	2) Undergo an emotional sensation or be in a particular state of mindThis definition fits the context of the sentence,
senseval3.d000.s137.t001	Both options seem suitable, but the most common and idiomatic usage of "twinge" in the given sentence is:2
senseval3.d000.s137.t002	5) The psychological state of being irritated or annoyed.This definition best captures the meaning of "annoyance" as a
senseval3.d000.s137.t003	5) Perceive (sound) via the auditory sense.The sentence indicates that Haney is experiencing an emotional reaction (ann
senseval3.d000.s137.t004	3) Well known or easily recognized.In the sentence, "familiar" is used to describe the fact that Haney
senseval3.d000.s138.t000	10) In a state of extreme emotionIn this sentence, "wild" is used to describe a thought that is intense
senseval3.d000.s138.t001	5) The content of cognition; the main thing you are thinking about.This definition of "thought" best fits the context
senseval3.d000.s138.t004	4) Mentally disorderedIn the given sentence, "clouded" is used to describe someone's brain as being
senseval3.d000.s138.t005	2) That which is responsible for one's thoughts and feelings; the seat of the faculty of reasonThis definition best fits
senseval3.d000.s139.t000	2) Expect, believe, or suppose
senseval3.d000.s139.t001	2) Expect, believe, or supposeThis definition encompasses the meaning of "suppose" in the sentence, as it
senseval3.d000.s139.t002	2) An informal term for a youth or man
senseval3.d000.s139.t003	11) Express in words
senseval3.d000.s140.t001	3) Engaged in a profession or engaging in as a profession or means of livelihoodThis definition best captures the meaning of
senseval3.d000.s140.t002	2) Someone who causes the death of a person or animal.
senseval3.d000.s141.t000	6) Usually large hard-shelled seed
senseval3.d000.s141.t001	3) The occurrence of a change for the worseThis definition of "harm" fits the context of the sentence,
senseval3.d000.s141.t002	12) Get (something) done
senseval3.d000.s142.t001	The most suitable definition for "do" in the sentence is:11) Carry out or perform an actionThis definition accurately
senseval3.d000.s143.t000	3) Have a feeling or perception about oneself in reaction to someone's behavior or attitude.This definition best captures the meaning of
senseval3.d000.s143.t001	1) Marked by skill in deceptionThis definition fits the context of the sentence, where the person is being clever and
senseval3.d000.s143.t002	1) Feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
senseval3.d000.s143.t003	The most suitable dictionary definition which identifies the meaning of "played" in the given sentence is:31) Use or move
senseval3.d000.s143.t004	3) Very unusual; different in character or quality from the normal or expectedIn the sentence, "other" refers to
senseval3.d000.s143.t005	12) The generic use of the word to refer to any human being.
senseval3.d000.s143.t006	3) A sentimental affectionIn this context, the phrase "soft spot" is being used figuratively to refer to a
senseval3.d000.s144.t000	2) A lack of politeness; a failure to show regard for others; wounding the feelings or others.
senseval3.d000.s144.t001	1) Mean or intend to express or conveyIn the given sentence, "intended" means that the speaker did not
senseval3.d000.s144.t002	11) Express in wordsIn the sentence "No offense intended", "said" is used as a reporting verb, which
senseval3.d000.s146.t001	1) Hold in suspicion; believe to be guilty
senseval3.d000.s146.t002	The most suitable dictionary definition for "thing" in the given sentence is:1) A separate and self-contained entityThis
senseval3.d000.s146.t003	4) Have or formulate in the mindThis definition best fits the sentence "I thought it was a coincidence" because "
senseval3.d000.s146.t004	1) An event that might have been arranged although it was really accidental.This definition best describes the meaning of "coinc
senseval3.d000.s147.t000	3) Be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt
senseval3.d000.s150.t000	11) Express in words
senseval3.d000.s150.t001	6) Be in charge of, act on, or dispose of. In the sentence "But if you say you managed
senseval3.d000.s151.t000	1) An individual that one is not acquainted with
senseval3.d000.s151.t001	11) Catch with a hook
senseval3.d000.s152.t000	5) The organ of sight
senseval3.d000.s152.t001	Among the options, the most suitable dictionary definition for "burned" in the context of the sentence "His eyes burned fever
senseval3.d000.s153.t000	The most suitable dictionary definition which identifies the meaning of "muttered" is:2) Make complaining remarks or noises under
senseval3.d000.s154.t001	11) Give a certain impression or have a certain outward aspect.In this context, "looked" is used to convey
senseval3.d000.s155.t001	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
senseval3.d000.s155.t002	The most suitable dictionary definition which identifies the meaning of "time" among the given options is:3) The fourth coordinate that
senseval3.d000.s155.t004	5) Have a personal or business relationship with someone.In this sentence, the speaker claims to "have" an alibi
senseval3.d000.s155.t005	2) (law) a defense by an accused person purporting to show that he or she could not have committed the
senseval3.d000.s156.t000	1) Make it possible through a specific action or lack of action for something to happen
senseval3.d000.s156.t001	3) Establish the validity of something, as by an example, explanation or experiment.This definition of "prove" fits the
senseval3.d000.s157.t000	11) Use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at
senseval3.d000.s157.t002	5) An act of gracious kindness
senseval3.d000.s158.t000	4) Stay in one place and anticipate or expect something.
senseval3.d000.s159.t001	2) An alcoholic beverage that is distilled rather than fermented.In the sentence, "liquor" is used to refer to
senseval3.d000.s159.t002	4) The lowest part of anything
senseval3.d000.s159.t003	11) A container for holding liquids while drinking
senseval3.d001.s000.t000	2) An overwhelming defeat
senseval3.d001.s000.t004	3) Give support or one's approval to.This definition best fits the context of the sentence, as it indicates that the
senseval3.d001.s000.t005	2) Belong to or relating to the Democratic Party
senseval3.d001.s000.t006	2) Relating to a president or presidency.The sentence describes the presidential candidate, so it is using "presidential"
senseval3.d001.s000.t007	Both 1) A politician who is running for public office and 2) Someone who is considered for something (for an
senseval3.d001.s000.t008	2) An experience that causes you to remember something.In this context, the sentence is saying that the event described is a
senseval3.d001.s000.t009	3) National; especially in reference to the government of the United States as distinct from that of its member units.This definition
senseval3.d001.s000.t010	The most suitable dictionary definition which identifies the meaning of "level" in the given sentence is:1) A position on a
senseval3.d001.s000.t011	2) Involving or characteristic of politics or parties or politicians.This definition best captures the meaning of "political" in
senseval3.d001.s000.t013	2) Earlier than the present time; no longer current.
senseval3.d001.s001.t000	2) Relating to a president or presidency.The sentence is describing a situation that is related to a president, specifically a
senseval3.d001.s001.t001	4) The act of selecting someone or something; the exercise of deliberate choice.This definition best captures the meaning of "election
senseval3.d001.s001.t002	5) A period of time containing 365 (or 366) days
senseval3.d001.s001.t004	1) A politically organized body of people under a single government.This definition best describes the meaning of "nation" in the
senseval3.d001.s001.t007	2) Select as an alternative over another.The sentence is referring to the fact that a specific percentage of the nation's congressional
senseval3.d001.s001.t009	3) An organization to gain political power.
senseval3.d001.s001.t010	1) A politician who is running for public office.
senseval3.d001.s002.t000	2) A proportion in relation to a whole (which is usually the amount per hundred)This definition matches the meaning of "
senseval3.d001.s002.t001	1) Be identical or equivalent to
senseval3.d001.s003.t000	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.In
senseval3.d001.s003.t002	1) Have a tendency or disposition to do or be something; be inclinedThis definition of "tend" is the
senseval3.d001.s003.t003	3) Promote over another.In the given sentence, "favor" means to support or promote one side or candidate over
senseval3.d001.s003.t004	2) A member of the Republican Party.
senseval3.d001.s003.t005	6) People who are believed to belong to the same genetic stock.In the given sentence, "races" refers to
senseval3.d001.s003.t006	3) The person who holds the office of head of state of the United States government
senseval3.d001.s004.t000	2) Relating to a president or presidency.This definition is more comprehensive and inclusive, covering not only the person holding the
senseval3.d001.s004.t001	4) The act of selecting someone or something; the exercise of deliberate choice.This definition best captures the meaning of "election
senseval3.d001.s004.t002	2) Earlier than the present time; no longer current.This definition of "past" refers to something that occurred or existed
senseval3.d001.s004.t004	2) Relating to a president or presidency.The sentence is stating that the GOP has captured a greater percentage of the major
senseval3.d001.s004.t007	2) A proportion in relation to a whole (which is usually the amount per hundred)This definition accurately describes the concept of
senseval3.d001.s004.t008	6) Greater in scope or effect.This definition best fits the context of the sentence, as it refers to the "major
senseval3.d001.s004.t009	3) An organization to gain political power.
senseval3.d001.s004.t010	2) Representing or appealing to or adapted for the benefit of the people at large
senseval3.d001.s004.t011	4) The opinion of a group as determined by voting.This definition directly relates to the concept of "vote" in the
senseval3.d001.s004.t012	3) The person who holds the office of head of state of the United States government.
senseval3.d001.s004.t014	2) The legal right to sit as a member in a legislative or similar body.In this context, "seats"
senseval3.d001.s004.t015	2) Representing or appealing to or adapted for the benefit of the people at large
senseval3.d001.s004.t016	4) The opinion of a group as determined by voting.This definition directly relates to the context of the sentence, which mentions
senseval3.d001.s005.t001	2) A word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms
senseval3.d001.s006.t000	2) Be the reason or explanation for.The sentence implies that the results of recent decades are being explained or justified by something
senseval3.d001.s006.t001	3) A phenomenon that follows and is caused by some previous phenomenon.This definition most accurately describes the meaning of "results"
senseval3.d001.s006.t002	1) Of the immediate past or just previous to the present time.This definition best matches the meaning of "recent" in
senseval3.d001.s006.t003	1) A period of 10 years.
senseval3.d001.s007.t000	6) Having few parts; not complex or complicated or involved.This definition best captures the meaning of "simple" in the
senseval3.d001.s007.t004	1) Constituting or comprising a part or fraction of a possible whole or entirety
senseval3.d001.s007.t007	1) To show, make visible or apparent.
senseval3.d001.s007.t008	4) A native or inhabitant of the United States
senseval3.d001.s008.t002	2) A statement that is assumed to be true and from which a conclusion can be drawn.This definition is the most suitable
senseval3.d001.s009.t002	6) A name given to a product or service.In this sentence, "brands" refers to labels or names given to
senseval3.d001.s009.t004	2) Involving or characteristic of politics or parties or politicians.This definition best fits the context of the sentence, as
senseval3.d001.s009.t005	2) A representative who acts on behalf of other persons or organizations.In the given sentence, "agents" refers to the
senseval3.d001.s009.t006	2) Relating to the Republican Party
senseval3.d001.s009.t007	6) A name given to a product or service.In this context, "brand" refers to a name or label given
senseval3.d001.s009.t009	2) Advocating minimal reforms (as in government or politics)This definition best captures the meaning of "minimalist" in
senseval3.d001.s009.t010	3) (chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and
senseval3.d001.s009.t011	2) The quality of doing what is right and avoiding what is wrongThis definition most accurately captures the meaning of "virt
senseval3.d001.s009.t012	1) Concerning things deeply private and personal
senseval3.d001.s009.t013	6) The world of commercial activity where goods and services are bought and sold.This definition best captures the meaning of "markets
senseval3.d001.s009.t014	2) A specific form of evildoing
senseval3.d001.s009.t015	1) Not private; open to or concerning the people as a whole.In this context, "public" refers to something
senseval3.d001.s009.t016	The most suitable definition for the word "action" in the given sentence is:4) An act by a government body or
senseval3.d001.s009.t017	1) Representing or appealing to or adapted for the benefit of the people at largeThis definition captures the core meaning of
senseval3.d001.s009.t018	6) A name given to a product or service.
senseval3.d001.s009.t022	1) Not private; open to or concerning the people as a whole
senseval3.d001.s009.t023	5) The act or fact of interposing one thing between or among others.In this context, "intervention" refers
senseval3.d001.s009.t024	2) Provide relief for
senseval3.d001.s009.t025	6) Immoderation as a consequence of going beyond sufficient or permitted limits.In this context, "excesses"
senseval3.d001.s009.t026	1) Following or accompanying as a consequenceIn the given sentence, "attendant" means accompanying or following as a consequence
senseval3.d001.s009.t027	3) A search for an alternative that meets cognitive criteria.In the given sentence, "pursuit" refers to the
senseval3.d001.s009.t028	1) Concerning things deeply private and personal
senseval3.d001.s009.t029	6) Something that interests you because it is important or affects you.In the given sentence, "interest" refers to the
senseval3.d001.s010.t001	3) A person who represents others.This definition accurately describes the role of a representative, as it implies someone who acts on
senseval3.d001.s010.t002	7) Have or possess, either in a concrete or an abstract sense.The sentence states that "Congressional representatives have"
senseval3.d001.s010.t004	2) A form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's
senseval3.d001.s010.t005	5) Express one's preference for a candidate or for a measure or resolution; cast a vote
senseval3.d001.s010.t006	1) (of a government or government official) holding an office means being in powerThis definition best fits the context of
senseval3.d001.s010.t007	6) Take action with respect to (someone or something).
senseval3.d001.s010.t008	5) Concerned with or applicable to or belonging to an entire nation or country.
senseval3.d001.s010.t009	3) An important question that is in dispute and must be settled.
senseval3.d001.s010.t010	5) A claim sufficient to demand judicial attention; the facts that give rise to right of action.This definition is the most
senseval3.d001.s010.t011	12) Assign the roles of (a movie or a play) to actors
senseval3.d001.s010.t013	5) A choice that is made by counting the number of people in favor of each alternative.This definition directly refers to the
senseval3.d001.s010.t014	3) Law enacted by a legislative body.This definition directly states the meaning of "legislation," which refers to the act
senseval3.d001.s010.t015	1) Impose something unpleasant
senseval3.d001.s010.t016	1) The total spent for goods or services including money and time and labor.
senseval3.d001.s010.t017	2) Present.
senseval3.d001.s010.t018	3) Something that aids or promotes well-being.
senseval3.d001.s010.t019	4) The number of inhabitants (either the total number or the number of a particular race or class) in a given place
senseval3.d001.s010.t020	2) Get down to; pay attention to; take seriously
senseval3.d001.s010.t021	1) Of or belonging to or characteristic of a particular locality or neighborhood.
senseval3.d001.s010.t022	3) An important question that is in dispute and must be settled.This definition fits the context of the sentence, as "
senseval3.d001.s010.t024	6) Work done by one person or group that benefits another.This definition best matches the meaning of "service" in the
senseval3.d001.s011.t000	2) Relating to the Republican Party.
senseval3.d001.s011.t002	4) A member of the United States House of Representatives.This definition directly refers to individuals who are elected to represent their constituents
senseval3.d001.s011.t003	2) A personal belief or judgment that is not founded on proof or certainty.In this context, the sentence is describing a
senseval3.d001.s011.t004	2) Advocating minimal reforms (as in government or politics).
senseval3.d001.s011.t005	8) In law; the territory within which power can be exercised.This definition fits the context of the sentence, as it
senseval3.d001.s011.t006	1) Disposed or inclined toward
senseval3.d001.s011.t007	8) Carry out or participate in an activity; be involved in.In the given sentence, the word "engage" means
senseval3.d001.s011.t008	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval3.d001.s011.t009	1) Representing or appealing to or adapted for the benefit of the people at large
senseval3.d001.s011.t010	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)This
senseval3.d001.s012.t000	2) A statement that is assumed to be true and from which a conclusion can be drawn.This definition fits the context of
senseval3.d001.s012.t001	14) Have room for; hold without crowdingThis definition is the most suitable to identify the meaning of "hold"
senseval3.d001.s012.t003	2) Any competition.
senseval3.d001.s012.t004	5) Cover the front or surface ofIn this sentence, "face" means to cover or expose the front or surface
senseval3.d001.s012.t007	7) Have or possess, either in a concrete or an abstract sense.In this sentence, "have" is used to
senseval3.d001.s012.t008	2) A positive motivational influence
senseval3.d001.s012.t010	4) Have a tendency or disposition to do or be something; be inclinedIn this context, "lean" means to
senseval3.d001.s012.t011	1) Representing or appealing to or adapted for the benefit of the people at large
senseval3.d001.s013.t000	2) Cause to be in a certain state; cause to be in a certain relationIn this context, "put"
senseval3.d001.s013.t001	The most suitable definition is: 6) A job in an organization.This definition best matches the context of the sentence,
senseval3.d001.s013.t002	2) Come into possession ofThe sentence implies that the Republicans will gain possession of power or benefits, which is a key
senseval3.d001.s013.t003	1) Of or belonging to or characteristic of a particular locality or neighborhood.
senseval3.d001.s013.t004	3) Something that aids or promotes well-being.In this context, "bringing home the bacon" is an idiomatic expression
senseval3.d001.s013.t007	2) Stop (someone or something) from doing something or being in a certain state.In the sentence, "prevent"
senseval3.d001.s013.t008	3) Very unusual; different in character or quality from the normal or expected.The context of the sentence implies that the other
senseval3.d001.s013.t010	2) Attain success or reach a desired goal.The phrase "bringing home the bacon" is an idiomatic expression meaning
senseval3.d001.s014.t001	2) Be relevant toIn the given sentence, "comes" is used as a verb to mean "relate to
senseval3.d001.s014.t002	5) Concerned with or applicable to or belonging to an entire nation or country.This definition best captures the meaning of "
senseval3.d001.s014.t003	3) A plan of action adopted by an individual or social group.This definition best fits the context of the sentence, as
senseval3.d001.s014.t004	2) The act that results in something coming to be.In this context, "making" refers to the process of creating
senseval3.d001.s015.t000	4) A contest of speed
senseval3.d001.s015.t002	2) A positive motivational influenceIn the sentence, "incentive" refers to a motivating factor or reason that encourages
senseval3.d001.s015.t004	4) Have a tendency or disposition to do or be something; be inclinedIn the given sentence, "lean" is
senseval3.d001.s016.t000	3) The person who holds the office of head of state of the United States government
senseval3.d001.s016.t001	1) Place limits on (extent or access)This definition best captures the meaning of "limit" in the given sentence,
senseval3.d001.s016.t002	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval3.d001.s016.t003	3) Something that aids or promotes well-being.This definition most accurately describes the meaning of "benefits" in the given
senseval3.d001.s016.t005	3) Unique or specific to a person or thing or categoryIn this context, "particular" is used to emphasize
senseval3.d001.s016.t008	3) The person who holds the office of head of state of the United States government.
senseval3.d001.s016.t009	2) Has a good chance of being the case or of coming about.This definition best captures the meaning of "likely"
senseval3.d001.s016.t010	4) Able to accomplish a purpose; functioning effectively.This definition best captures the meaning of "effective" in the given sentence
senseval3.d001.s016.t011	2) Stop (someone or something) from doing something or being in a certain state.In the given sentence, "pre
senseval3.d001.s016.t012	3) Very unusual; different in character or quality from the normal or expected.In this context, "other" refers to
senseval3.d001.s016.t016	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval3.d001.s016.t017	3) Something that aids or promotes well-being.This definition best captures the meaning of "benefits" in the given sentence
senseval3.d001.s017.t000	2) Characteristic of or meant for a single person or thing.This definition best describes the meaning of "individual" in
senseval3.d001.s017.t002	2) Social or financial or professional status or reputation.In this context, "standing" refers to the individual's position or
senseval3.d001.s017.t003	1) Make better or more attractive
senseval3.d001.s018.t001	6) Having few parts; not complex or complicated or involved.This definition best captures the meaning of "simple" in the
senseval3.d001.s018.t002	3) Seem to be true, probable, or apparent.
senseval3.d001.s018.t003	3) Make plain and comprehensibleIn this context, the sentence is saying that the theory is easy to understand and effectively
senseval3.d001.s018.t004	3) (used with count nouns) of an indefinite number more than 2 or 3 but not many
senseval3.d001.s018.t005	4) Any attribute or quality considered as having its own existenceThis definition best fits the context of the sentence, as "
senseval3.d001.s019.t000	2) Become bigger or greater in amount.The sentence states that "ticket splitting has increased," indicating that the amount or frequency
senseval3.d001.s019.t001	1) Receive or obtain regularlyThe sentence is saying that "ticket splitting" has increased and taken a peculiar pattern over time
senseval3.d001.s019.t004	2) Earlier than the present time; no longer current.The sentence is referring to events that occurred before a specific point in
senseval3.d001.s019.t006	5) A vote to select the winner of a position or political office.This definition is the most suitable because it directly refers
senseval3.d001.s019.t007	3) The person who holds the office of head of state of the United States government.
senseval3.d001.s019.t008	1) Arrival that has been awaited (especially of something momentous)This definition fits the context of the sentence, where "
senseval3.d001.s019.t009	1) (government) the system or form by which a community or other political unit is governed
senseval3.d001.s019.t010	3) Inhabit or live in; be an inhabitant ofThis definition accurately describes the meaning of "occupied" in
senseval3.d001.s019.t011	1) The actions and activities assigned to or required or expected of a person or group.
senseval3.d001.s019.t012	1) An extended social group having a distinctive cultural and economic organization.This definition best captures the meaning of "society"
senseval3.d001.s019.t013	3) A state of difficulty that needs to be resolved.This definition best captures the meaning of "problem" in the given
